time;interpolated Pixel forehead
9.601;243.07639692834113,228.51442253408973,230.5986515021063
9.631;243.1109735148475,228.60171349016886,230.6242542985951
9.661;242.97402449196852,228.23939281912257,230.27529861755983
9.691;242.83707546908954,227.8770721480763,229.92634293652458
9.721;242.69937211656153,227.6637645937294,229.7286713821674
9.751;242.5615849496281,227.46701405234913,229.5478091752189
9.781;242.42844397464873,227.2776859316533,229.3746577390911
9.811;242.43004256633776,227.30360801080698,229.42511865676317
9.841;242.43164115802676,227.32953008996068,229.47557957443527
9.871;242.4332397497158,227.35545216911436,229.52604049210737
9.901;242.43483834140483,227.38137424826803,229.57650140977944
9.931;242.57939126672107,227.53261134554205,229.8037108506628
9.961;242.84902923396115,227.79349908367138,230.18557524935602
9.991;243.06730112438427,228.05101603080138,230.49854708134475
10.021;243.18284086117342,228.30179139593275,230.67373377992448
10.051;243.29838059796256,228.55256676106416,230.84892047850423
10.081;243.4139203347517,228.80334212619556,231.02410717708395
10.111;243.43620385440633,228.78107581950496,231.03929167278542
10.141;243.4518262156942,228.73930653625564,231.0430474397099
10.171;243.46744857698206,228.69753725300635,231.04680320663437
10.201;243.55059096115903,228.84131500752093,231.18517872580435
10.231;243.6787466939287,229.10879078721143,231.41330074647132
10.261;243.8069024266984,229.37626656690196,231.6414227671383
10.291;243.8867818224524,229.5559125935016,231.79129960151994
10.321;243.80803896801214,229.4469751456599,231.6840851095354
10.351;243.7292961135719,229.3380376978182,231.57687061755087
10.381;243.65055325913164,229.2291002499765,231.46965612556633
10.411;243.59673955821447,229.18327755905554,231.40057400201925
10.441;243.55199100403294,229.16040568883298,231.34535819426762
10.471;243.50724244985145,229.13753381861045,231.29014238651595
10.501;243.46249389566992,229.1146619483879,231.23492657876432
10.531;243.41774534148843,229.09179007816536,231.17971077101268
10.561;243.37859456211157,229.0677299045862,231.1435976383619
10.591;243.37582931896492,229.03594575918908,231.23165189386688
10.621;243.37306407581826,229.00416161379195,231.31970614937185
10.651;243.37029883267164,228.97237746839482,231.40776040487685
10.681;243.28356368058232,228.86834881901862,231.30357167724816
10.711;243.17583605125733,228.74625904364765,231.1513222038361
10.741;243.14990318490126,228.64061959129103,231.02373148273446
10.771;243.18651925493316,228.54755979771005,230.91499745457614
10.801;243.22313532496506,228.45450000412907,230.8062634264178
10.831;243.263056070023,228.4067712126703,230.75030082426912
10.861;243.31950019021124,228.58569743182244,230.95819535216881
10.891;243.37594431039952,228.76462365097458,231.16608988006848
10.921;243.45360327487782,228.88587562734298,231.32826046049237
10.951;243.54748535557795,228.9630237709944,231.45546566931714
10.981;243.64136743627805,229.04017191464584,231.5826708781419
11.011;243.71415095774947,229.11070032102484,231.69328053920003
11.041;243.64979384423447,229.1382004351332,231.69601913977513
11.071;243.58543673071947,229.16570054924156,231.69875774035023
11.101;243.58904145390733,229.2822317179459,231.6740537707818
11.131;243.60019749228434,229.40865522604983,231.64630062675297
11.161;243.66563502548698,229.46904946149505,231.70645221661084
11.191;243.75433605647197,229.5011454372294,231.80427726384872
11.221;243.81788521297392,229.528662961549,231.8853866757728
11.251;243.84370655775132,229.54931280874646,231.94142263472617
11.281;243.8695279025287,229.56996265594395,231.99745859367954
11.311;243.88698405023285,229.57625449102898,232.04007838453313
11.341;243.78732743891206,229.38153415653997,231.89487182198957
11.371;243.68767082759126,229.18681382205096,231.74966525944603
11.401;243.58801421627047,228.99209348756193,231.60445869690247
11.431;243.50950626325465,228.8528380613523,231.50269841604913
11.461;243.568464589221,229.07410453895844,231.68333896618228
11.491;243.62742291518737,229.29537101656462,231.86397951631542
11.521;243.68638124115373,229.51663749417077,232.04462006644854
11.551;243.66698122689635,229.52851787898618,232.00761759254186
11.581;243.61399906682882,229.45066136689124,231.87733953690383
11.611;243.56101690676127,229.37280485479633,231.7470614812658
11.641;243.52596734511297,229.2882874822933,231.62304480727653
11.671;243.5626481771416,229.17712666815774,231.5240736598822
11.701;243.59932900917022,229.0659658540222,231.42510251248788
11.731;243.58818137929552,229.0141296283845,231.4625871156039
11.761;243.57361743071343,228.96653087335378,231.50981855804207
11.791;243.60540533073527,228.98739889081588,231.55014655846935
11.821;243.66036915505902,229.0425002945244,231.58702283789117
11.851;243.71533297938277,229.0976016982329,231.623899117313
11.881;243.6534909768989,228.98100300542345,231.46871785469827
11.911;243.35803732079972,228.52100411957807,230.92942150801053
11.941;243.06258366470055,228.0610052337327,230.3901251613228
11.971;242.76713000860136,227.60100634788733,229.85082881463507
12.001;242.93368636245344,227.96865074607123,230.24719468451664
12.031;243.116174095959,228.36483456784234,230.67582476876268
12.061;243.29866182946455,228.76101838961344,231.10445485300872
12.091;243.40312929235125,228.95058049833247,231.2985423536985
12.121;243.43932901844644,228.95934860813088,231.28740509377656
12.151;243.47552874454163,228.9681167179293,231.27626783385463
12.181;243.50882405647818,228.999109517836,231.28710183069384
12.211;243.52324067638347,229.1745628034464,231.44074899648055
12.241;243.53765729628876,229.35001608905685,231.5943961622673
12.271;243.54110097640446,229.1868985211702,231.58674409927332
12.301;243.54376087510667,228.9995973208909,231.56757066279502
12.331;243.50467790703462,228.8083251700334,231.44795334044278
12.361;243.44142801609323,228.61475404778855,231.27018429468978
12.391;243.37817812515186,228.42118292554366,231.0924152489368
12.421;243.32764883868145,228.30032320613975,230.98078583054343
12.451;243.31210121450619,228.3794198445484,231.05104038738898
12.481;243.29655359033094,228.4585164829571,231.1212949442345
12.511;243.28100596615567,228.53761312136578,231.19154950108006
12.541;243.32741825877164,228.55916766197544,231.19763056636708
12.571;243.37825625972985,228.57661205274232,231.19912781082846
12.601;243.42909426068806,228.59405644350923,231.20062505528986
12.631;243.47993226164627,228.61150083427611,231.20212229975127
12.661;243.56402464703945,228.7556856090496,231.34534601449766
12.691;243.68612204321542,229.04471653697348,231.65054283814123
12.721;243.8082194393914,229.33374746489736,231.95573966178483
12.751;243.91275997785002,229.58585323621406,232.21734843847108
12.781;243.77150450826585,229.32100681503047,231.8687245577547
12.811;243.63024903868168,229.05616039384688,231.52010067703833
12.841;243.48899356909754,228.7913139726633,231.17147679632194
12.871;243.5048401106703,228.80704642292002,231.13447445599223
12.901;243.58801608559605,228.94302696093692,231.23102420439966
12.931;243.67119206052178,229.0790074989538,231.32757395280709
12.961;243.70577548734633,229.1667611136297,231.41497439931732
12.991;243.64317381796846,229.1580608816235,231.48407624203313
13.021;243.58057214859062,229.1493606496173,231.55317808474894
13.051;243.54713659342696,229.09923941064983,231.50033809799197
13.081;243.52257768171978,229.03651177825932,231.4103853805259
13.111;243.61983952271763,229.16332553047184,231.53749210613913
13.141;243.82369452233232,229.45598799421205,231.8545258444468
13.171;243.95493760960693,229.63441931099374,232.06624250785407
13.201;243.91675290142135,229.5463112848723,232.03221932982711
13.231;243.8785681932358,229.45820325875087,231.99819615180016
13.261;243.8403834850502,229.37009523262944,231.9641729737732
13.291;243.73740333433153,229.1718943195837,231.73734241016467
13.321;243.62979493771763,228.96582962890054,231.49673989044317
13.351;243.62895967233044,228.90506963730726,231.49823397913266
13.381;243.68151097255657,228.91696199525896,231.62077637202765
13.411;243.7340622727827,228.92885435321065,231.74331876492263
13.441;243.78661357300882,228.94074671116235,231.86586115781765
13.471;243.79584260029216,229.04013105807243,231.8916081555963
13.501;243.7918865879842,229.166143401622,231.88789568529606
13.531;243.78793057567628,229.2921557451716,231.8841832149958
13.561;243.81091664328375,229.41492714554855,231.9124769511364
13.591;243.88043903074518,229.5321005531727,231.9960541347657
13.621;243.94996141820658,229.64927396079688,232.079631318395
13.651;244.01948380566802,229.76644736842104,232.1632085020243
13.681;244.03823636511703,229.78762426900585,232.23079767555495
13.711;244.05698892456607,229.80880116959065,232.29838684908557
13.741;244.07574148401508,229.82997807017546,232.36597602261622
13.771;244.0209472528563,229.73931255058446,232.27964078187046
13.801;243.9293796263936,229.59272582090557,232.11634333398652
13.831;243.83781199993086,229.44613909122668,231.9530458861026
13.861;243.74624437346816,229.2995523615478,231.78974843821865
13.891;243.6420723835073,229.14420499815014,231.56535277835445
13.921;243.51269166655007,228.97133636731493,231.2187606945298
13.951;243.38331094959284,228.79846773647972,230.87216861070516
13.981;243.2539302326356,228.6255991056445,230.5255765268805
14.011;243.31711433082089,228.6766194785328,230.7372548273053
14.041;243.38693859504556,228.73536016189433,230.96818383063524
14.071;243.45676285927024,228.79410084525585,231.19911283396516
14.101;243.5885296774558,229.05973021405026,231.46133536507537
14.131;243.76159153161524,229.46328537313326,231.74442024803912
14.161;243.81626535969812,229.6150717243523,231.83301266590126
14.191;243.69335714866608,229.38920486377546,231.6298663861111
14.221;243.57044893763404,229.16333800319862,231.42672010632094
14.251;243.447540726602,228.93747114262177,231.22357382653075
14.281;243.43423609986348,228.8735162775631,231.15700849163562
14.311;243.43779356301627,228.83447095027648,231.11145560980123
14.341;243.44135102616906,228.79542562298988,231.06590272796686
14.371;243.48091427870253,228.86680890718696,231.1574596553195
14.401;243.5230493733346,228.94607994934714,231.25881014047127
14.431;243.56518446796667,229.02535099150734,231.360160625623
14.461;243.60731956259878,229.10462203366754,231.46151111077475
14.491;243.64075409928392,229.14428054183705,231.48551731615456
14.521;243.66424514117261,229.13866758258862,231.42113005893788
14.551;243.69797993862676,229.1623084004603,231.39285212888376
14.581;243.77268975834292,229.30296432681243,231.50901150747987
14.611;243.84739957805905,229.44362025316457,231.62517088607595
14.641;243.92210939777522,229.58427617951668,231.74133026467203
14.671;243.93044673648623,229.5996634508534,231.78488363654506
14.701;243.9285729242734,229.5957786214185,231.81726685353763
14.731;243.92669911206056,229.5918937919836,231.84965007053017
14.761;243.92180253959435,229.58134950809148,231.82844307570082
14.791;243.9134513839814,229.56319441910537,231.74599012450355
14.821;243.90510022836844,229.54503933011927,231.66353717330628
14.851;243.84807440476433,229.43865525825473,231.60760291942682
14.881;243.79104858116023,229.33227118639016,231.55166866554737
14.911;243.75242739231948,229.262878717279,231.52883024247475
14.941;243.72991025889664,229.22585390057702,231.53495067135816
