time;Pixel rightCheek
23.926;195.4265750828991,170.78517290383704,170.9194694457603
24.044;194.40014031805427,170.43802619270346,170.45135640785782
24.111;194.8493919550982,170.33980355472403,170.3507951356408
24.178;193.59145339281523,169.96618924630195,169.8854191124677
24.244;193.75046554934823,170.1398975791434,169.63500931098696
24.346;194.2832587708971,170.66753002119142,170.08052743112785
24.447;193.2486574830726,169.58883959841233,169.28578099462993
24.548;195.0501648610457,170.72609514837495,170.9642016015073
24.617;192.8017723880597,169.15461753731344,169.12360074626866
24.752;193.50411280846063,169.91586368977673,169.3273795534665
24.853;193.77749301025162,170.153541472507,169.99231127679403
24.954;194.9031117397454,170.57850070721358,170.61598302687412
25.054;193.33620288506282,169.72080037226618,169.50325732899023
25.156;194.6517941454202,170.62134088762983,170.24929178470256
25.255;194.15674789128397,170.36457357075915,170.29123711340208
25.326;194.07731958762886,170.2902999062793,170.03865979381445
25.428;195.10738730233655,170.8718432853434,170.86948312485248
25.529;194.1730136342266,169.88199341795956,169.93747061589093
25.625;194.08511137162955,170.15076201641267,170.0107854630715
25.76;194.41678387248007,170.81973745897795,170.54125644631975
25.861;194.32801875732707,170.39460726846426,170.3936694021102
25.932;193.0403566400751,169.59408728296575,169.23158141717502
25.999;193.37634913186298,169.46269357109338,169.0858751759737
26.091;193.93562734082397,170.4119850187266,170.02738764044943
26.196;193.3875351452671,169.89948453608247,169.52717900656046
26.267;193.8330193122939,170.3815355628827,170.23763542157326
26.368;193.79700304378366,170.4066963240459,170.06017326153125
26.47;193.675465472543,169.91656846570822,169.47584256422343
26.57;194.44734982332156,170.5359246171967,170.14982332155478
26.64;194.48621908127208,170.55618374558304,170.3057714958775
26.711;194.15874882408278,170.52257761053622,170.23565380997178
26.814;193.16295066413662,169.45351043643265,169.0910815939279
26.914;193.7913907284768,170.31835383159887,170.139545884579
27.023;193.8436754176611,170.190692124105,169.92315035799524
27.123;192.40104043509103,169.18562307874203,168.99148734925515
27.19;193.36040489642184,169.91031073446328,169.32321092278718
27.257;193.62217514124293,169.83333333333334,169.49693973634652
27.324;193.5620247148289,169.91516159695817,169.89971482889734
27.426;193.17816901408452,169.75539906103288,169.5849765258216
27.526;193.93982468609335,170.273631840796,170.44847192608387
27.629;194.5519244734931,170.65746792544178,170.18106995884773
