Count;Frequencies leftCheek;Frequencies rightCheek;Frequencies forehead
110.46;72.265625;72.265625;72.265625
110.907;72.265625;72.265625;72.265625
111.362;72.265625;72.265625;72.265625
111.878;72.265625;46.875;72.265625
112.346;72.265625;46.875;72.265625
112.825;72.265625;46.875;72.265625
113.3;72.265625;46.875;72.265625
113.82;72.265625;46.875;72.265625
114.293;72.265625;46.875;72.265625
114.763;66.40625;60.546875;72.265625
115.227;66.40625;60.546875;72.265625
116.127;66.40625;60.546875;72.265625
116.53;66.40625;60.546875;72.265625
116.726;66.40625;60.546875;72.265625
117.131;66.40625;60.546875;72.265625
117.604;66.40625;60.546875;72.265625
118.095;66.40625;60.546875;72.265625
118.572;66.40625;66.40625;66.40625
119.045;66.40625;66.40625;66.40625
119.551;66.40625;66.40625;66.40625
120.015;66.40625;66.40625;66.40625
120.489;66.40625;66.40625;66.40625
120.975;66.40625;66.40625;66.40625
121.49;66.40625;66.40625;66.40625
121.934;66.40625;66.40625;66.40625
122.421;66.40625;66.40625;66.40625
122.89;66.40625;66.40625;66.40625
123.376;66.40625;66.40625;66.40625
123.849;66.40625;66.40625;66.40625
124.353;66.40625;66.40625;66.40625
124.803;66.40625;66.40625;66.40625
125.295;66.40625;66.40625;66.40625
125.781;66.40625;66.40625;66.40625
126.266;66.40625;66.40625;66.40625
126.738;66.40625;66.40625;66.40625
127.234;66.40625;66.40625;66.40625
127.693;66.40625;66.40625;66.40625
128.215;66.40625;66.40625;66.40625
128.645;66.40625;66.40625;66.40625
129.135;66.40625;66.40625;66.40625
129.63;66.40625;66.40625;66.40625
130.124;66.40625;66.40625;66.40625
130.606;66.40625;66.40625;66.40625
131.049;66.40625;66.40625;66.40625
131.523;66.40625;66.40625;66.40625
132.04;66.40625;66.40625;66.40625
132.487;66.40625;66.40625;66.40625
132.972;66.40625;66.40625;66.40625
133.462;66.40625;66.40625;66.40625
134.002;66.40625;66.40625;66.40625
134.452;66.40625;66.40625;66.40625
134.886;66.40625;66.40625;66.40625
135.378;66.40625;66.40625;66.40625
135.876;66.40625;66.40625;66.40625
136.356;66.40625;66.40625;66.40625
136.833;66.40625;58.59375;66.40625
137.345;66.40625;58.59375;66.40625
137.791;66.40625;58.59375;66.40625
138.26;66.40625;58.59375;66.40625
138.759;66.40625;58.59375;66.40625
139.215;66.40625;58.59375;66.40625
139.706;66.40625;58.59375;66.40625
140.188;66.40625;58.59375;66.40625
140.706;66.40625;58.59375;66.40625
141.149;66.40625;58.59375;66.40625
141.628;66.40625;58.59375;66.40625
142.083;68.359375;58.59375;68.359375
142.562;68.359375;130.859375;68.359375
143.066;68.359375;130.859375;68.359375
143.542;68.359375;130.859375;68.359375
144.029;68.359375;130.859375;68.359375
144.541;68.359375;130.859375;68.359375
144.976;68.359375;130.859375;68.359375
145.507;68.359375;130.859375;68.359375
145.96;68.359375;130.859375;68.359375
146.415;68.359375;130.859375;68.359375
146.909;68.359375;130.859375;68.359375
147.401;68.359375;130.859375;68.359375
147.903;68.359375;130.859375;68.359375
148.342;68.359375;130.859375;68.359375
148.827;68.359375;130.859375;68.359375
149.302;68.359375;130.859375;68.359375
149.792;68.359375;130.859375;68.359375
150.245;68.359375;130.859375;68.359375
150.769;68.359375;130.859375;68.359375
151.211;68.359375;130.859375;68.359375
151.718;68.359375;130.859375;68.359375
152.195;68.359375;130.859375;68.359375
152.675;68.359375;83.984375;68.359375
153.206;68.359375;83.984375;68.359375
153.622;68.359375;83.984375;68.359375
154.109;68.359375;83.984375;68.359375
154.596;68.359375;83.984375;68.359375
155.096;68.359375;83.984375;68.359375
155.527;68.359375;83.984375;68.359375
156.017;68.359375;83.984375;68.359375
156.486;68.359375;83.984375;68.359375
156.971;68.359375;83.984375;68.359375
157.454;68.359375;83.984375;68.359375
157.952;68.359375;83.984375;68.359375
158.412;68.359375;83.984375;68.359375
158.952;68.359375;83.984375;68.359375
159.447;68.359375;83.984375;68.359375
159.855;68.359375;83.984375;68.359375
160.385;68.359375;83.984375;68.359375
160.873;68.359375;83.984375;68.359375
161.317;68.359375;83.984375;68.359375
161.816;68.359375;83.984375;68.359375
162.263;68.359375;83.984375;68.359375
162.736;68.359375;83.984375;68.359375
163.228;68.359375;83.984375;68.359375
163.69;68.359375;83.984375;68.359375
164.217;68.359375;83.984375;68.359375
164.702;68.359375;83.984375;83.984375
165.21;68.359375;83.984375;83.984375
165.61;68.359375;83.984375;83.984375
166.086;68.359375;83.984375;83.984375
166.566;70.3125;82.03125;83.984375
167.073;70.3125;82.03125;83.984375
167.649;70.3125;82.03125;83.984375
168.055;70.3125;82.03125;83.984375
