time;interpolated Pixel leftCheek
7.245;228.94903359522198,202.17652896765952,205.97468510426583
7.275;228.72850353062276,202.05271639555272,205.85614313891304
7.305;228.50797346602357,201.92890382344595,205.73760117356025
7.335;228.63774841117726,202.11248528867816,205.8360435791385
7.365;228.79254514274186,202.31802347086318,205.94998486835468
7.395;228.94734187430646,202.52356165304818,206.06392615757088
7.425;229.1021386058711,202.7290998352332,206.17786744678705
7.455;229.1641157824697,202.80128367369096,206.2135017454382
7.485;229.04045384913633,202.60675882469423,206.09252206295932
7.515;228.91679191580297,202.4122339756975,205.97154238048046
7.545;228.79312998246962,202.21770912670075,205.8505626980016
7.575;228.79222574968867,202.42158975086895,206.02481072083847
7.605;228.79555454106475,202.63920849480144,206.20923900937592
7.635;228.7988833324408,202.8568272387339,206.39366729791334
7.665;228.8840286023468,203.06342599973868,206.5960392150242
7.695;229.03173941465812,203.26159771497518,206.81213273045591
7.725;229.1794502269694,203.4597694302117,207.02822624588762
7.755;229.28433436618312,203.56160986803258,207.15817968522938
7.785;229.1750851399088,203.18179391877533,206.85743274412152
7.815;229.06583591363446,202.80197796951805,206.55668580301366
7.845;228.95658668736013,202.4221620202608,206.25593886190578
7.875;229.28898091382302,202.64703810809073,206.46989079536448
7.905;229.73178600347023,203.02308720519247,206.8125174474648
7.935;229.90991988193127,203.18149319464945,206.97592904943738
7.965;229.7855723761796,203.09116420394093,206.9345234512639
7.995;229.6612248704279,203.00083521323242,206.89311785309044
8.025;229.53687736467623,202.91050622252394,206.85171225491698
8.055;229.49881404174573,202.86592741935485,206.7298387096774
8.085;229.46372603546425,202.8229262088595,206.60519040764248
8.115;229.42863802918276,202.7799249983642,206.48054210560755
8.145;229.39838720705427,202.74181063186967,206.37423463758148
8.175;229.41167104230263,202.74767786138207,206.43299467563537
8.205;229.42495487755102,202.7535450908945,206.49175471368923
8.235;229.4382387127994,202.7594123204069,206.55051475174312
8.265;229.4515225480478,202.76527954991934,206.60927478979698
8.295;229.5949154784836,202.92951864013972,206.7683013311579
8.325;229.81363472718584,203.18544670234888,206.98537690074917
8.355;230.03235397588807,203.44137476455805,207.20245247034043
8.385;230.032119034443,203.46851639685747,207.1873255336542
8.415;229.42976007009293,202.86649534690503,206.53364170470476
8.445;228.82740110574284,202.26447429695259,205.87995787575534
8.475;228.22504214139272,201.66245324700012,205.2262740468059
8.505;228.43057213134603,201.8657978290575,205.47263329538998
8.535;228.76039272965372,202.19304481603945,205.85746070974844
8.565;229.09021332796138,202.5202918030214,206.2422881241069
8.595;229.1741809128167,202.62389406134014,206.342594386072
8.625;228.977173625155,202.47190234404383,206.11773361673048
8.655;228.7801663374933,202.31991062674751,205.89287284738893
8.685;228.6114537449441,202.18024468661972,205.69731555783673
8.715;228.69739340840727,202.15151074100854,205.76548958638847
8.745;228.78333307187046,202.12277679539736,205.83366361494024
8.775;228.86927273533365,202.09404284978618,205.90183764349197
8.805;228.89897349388943,202.09203336144859,205.92197566534466
8.835;228.91155806399513,202.0981574035856,205.92749403298458
8.865;228.92414263410083,202.1042814457226,205.93301240062453
8.895;228.8685858842467,202.0651893657781,205.86869760062484
8.925;228.67674649447292,201.9356650416706,205.66471646534595
8.955;228.48490710469915,201.8061407175631,205.46073533006702
8.985;228.29306771492537,201.6766163934556,205.2567541947881
9.015;228.2844784272313,201.65233216590244,205.0951824847441
9.045;228.2889784325429,201.63556508810314,204.93664001935971
9.075;228.2934784378545,201.61879801030386,204.77809755397533
9.105;228.3973669873107,201.72216815844487,204.88355485890645
9.135;228.5772585411128,201.917407949952,205.1908943411377
9.165;228.7571500949149,202.1126477414591,205.49823382336896
9.195;228.8691841362808,202.25737102251927,205.73523192883593
9.225;228.7097881279022,202.2000282617915,205.69086452724585
9.255;228.55039211952354,202.1426855010637,205.64649712565577
9.285;228.39099611114491,202.08534274033596,205.60212972406572
9.315;228.2316001027663,202.02799997960818,205.55776232247564
9.345;228.22904289730272,202.01425483550864,205.54437832896377
9.375;228.2937023216599,202.01919438424977,205.54427293891405
9.405;228.3583617460171,202.02413393299088,205.54416754886427
9.435;228.4007013177823,201.95401754605604,205.49266462785712
9.465;228.40448841688863,201.75425908840813,205.35238415337804
9.495;228.40827551599497,201.55450063076023,205.21210367889898
9.525;228.4120626151013,201.35474217311233,205.0718232044199
9.555;228.2511715259924,201.2975789982313,204.99230074941195
9.585;228.0902804368835,201.2404158233503,204.91277829440403
