Count;Frequencies leftCheek;Frequencies rightCheek;Frequencies forehead
64.33;82.03125;74.21875;74.21875
64.826;82.03125;74.21875;74.21875
65.3;82.03125;74.21875;74.21875
65.743;82.03125;74.21875;74.21875
66.204;82.03125;74.21875;74.21875
66.715;82.03125;74.21875;74.21875
67.19;82.03125;160.15625;74.21875
67.692;74.21875;160.15625;74.21875
68.127;74.21875;160.15625;74.21875
68.618;74.21875;160.15625;74.21875
69.101;74.21875;160.15625;74.21875
69.589;74.21875;160.15625;74.21875
70.068;74.21875;164.0625;74.21875
70.524;74.21875;164.0625;74.21875
71.017;74.21875;164.0625;74.21875
71.52;113.28125;164.0625;74.21875
72.005;113.28125;164.0625;74.21875
72.469;113.28125;164.0625;74.21875
72.955;113.28125;164.0625;74.21875
73.428;113.28125;164.0625;74.21875
73.92;113.28125;164.0625;74.21875
74.389;113.28125;164.0625;74.21875
74.843;113.28125;164.0625;74.21875
75.355;113.28125;164.0625;74.21875
75.807;113.28125;164.0625;74.21875
76.303;113.28125;74.21875;74.21875
76.775;113.28125;74.21875;74.21875
77.253;113.28125;74.21875;74.21875
77.742;113.28125;74.21875;74.21875
78.208;113.28125;74.21875;66.40625
78.684;113.28125;74.21875;66.40625
79.175;113.28125;74.21875;66.40625
79.648;113.28125;74.21875;66.40625
80.145;113.28125;74.21875;66.40625
80.607;113.28125;74.21875;66.40625
81.099;62.5;74.21875;66.40625
81.593;109.375;74.21875;46.875
82.074;109.375;101.5625;46.875
82.535;109.375;101.5625;46.875
83.013;109.375;101.5625;46.875
83.504;109.375;101.5625;46.875
83.963;109.375;101.5625;66.40625
84.447;109.375;101.5625;66.40625
84.925;109.375;101.5625;89.84375
85.454;66.40625;101.5625;89.84375
85.915;66.40625;101.5625;89.84375
86.393;66.40625;113.28125;89.84375
86.883;66.40625;113.28125;89.84375
87.323;66.40625;113.28125;89.84375
87.858;66.40625;113.28125;89.84375
88.31;66.40625;113.28125;89.84375
88.8;78.125;113.28125;89.84375
89.293;78.125;113.28125;89.84375
89.745;78.125;113.28125;89.84375
90.224;78.125;113.28125;89.84375
90.683;78.125;113.28125;89.84375
91.177;78.125;113.28125;89.84375
91.665;78.125;113.28125;89.84375
92.133;78.125;113.28125;89.84375
92.61;78.125;113.28125;89.84375
93.084;74.21875;113.28125;89.84375
93.586;74.21875;113.28125;89.84375
94.07;74.21875;113.28125;89.84375
94.554;74.21875;109.375;89.84375
95.022;74.21875;109.375;89.84375
95.508;74.21875;50.78125;89.84375
96.009;74.21875;50.78125;89.84375
96.451;74.21875;50.78125;89.84375
96.96;74.21875;82.03125;74.21875
97.408;82.03125;82.03125;74.21875
97.932;82.03125;82.03125;74.21875
