time;interpolated Pixel forehead
4.564;231.10530758657546,229.35092339738983,231.0616003125563
4.594;231.07916346535134,229.20789582383148,230.97521336944152
4.624;231.0837473529799,229.04117037629956,230.89301321208202
4.654;231.0945833555065,228.98678787886087,230.93174262421658
4.684;231.11167147293108,229.04474833151542,231.09140160584522
4.714;231.12875959035566,229.10270878416998,231.25106058747386
4.744;231.1394657175415,229.15043623243838,231.37532602074108
4.774;231.1086889081755,229.13164915219676,231.26953338965927
4.804;231.07791209880952,229.11286207195513,231.16374075857746
4.834;231.0471352894435,229.0940749917135,231.05794812749565
4.864;231.0163584800775,229.0752879114719,230.95215549641384
4.894;230.9938470865972,229.0592247675071,230.88123204333945
4.924;230.99406558680258,229.05065244830354,230.90619882978552
4.954;230.99428408700794,229.0420801291,230.93116561623157
4.984;230.99450258721328,229.0335078098964,230.95613240267764
5.014;231.05940159080248,229.16086928738582,231.10103724997433
5.044;231.13148731698988,229.30333452006332,231.25926854847663
5.074;231.20357304317727,229.44579975274084,231.41749984697896
5.104;231.22406767189156,229.47923103312175,231.44564678564478
5.134;231.19942009031695,229.41725760524312,231.35996990945372
5.164;231.1747725087423,229.3552841773645,231.27429303326264
5.194;231.15625853355493,229.3111202393113,231.2027022830978
5.224;231.16841259030386,229.3560037503851,231.2015421630641
5.254;231.18056664705279,229.4008872614589,231.20038204303037
5.284;231.1927207038017,229.4457707725327,231.19922192299666
5.314;231.13562661029542,229.3788010506818,231.18339022782214
5.344;231.0612204792253,229.2838680205997,231.16389063886245
5.374;230.9868143481552,229.18893499051757,231.14439104990274
5.404;230.9370613605704,229.12373216637562,231.12256124762948
5.434;230.94483237445124,229.1278998227607,231.09529428095786
5.464;230.9526033883321,229.13206747914577,231.06802731428624
5.494;230.96037440221298,229.13623513553085,231.0407603476146
5.524;230.96814541609385,229.14040279191593,231.01349338094298
5.554;230.9759164299747,229.144570448301,230.98622641427136
5.584;230.98340809360872,229.13982462285364,231.028481701956
5.614;230.99078003570835,229.1312587337638,231.1005322415076
5.644;230.998151977808,229.12269284467394,231.1725827810592
5.674;231.01911752329545,229.13362948731327,231.21707652752335
5.704;231.06356292918008,229.17825232112114,231.21397217683642
5.734;231.10800833506468,229.22287515492903,231.21086782614952
5.764;231.1524537409493,229.26749798873692,231.2077634754626
5.794;231.04023864627575,229.2179883271916,231.0877851298521
5.824;230.92802355160222,229.16847866564626,230.9678067842416
5.854;230.81580845692866,229.11896900410093,230.8478284386311
5.884;230.75533588789546,229.05699635327002,230.79572758741972
5.914;230.72935833595577,228.98671504291542,230.78887839914108
5.944;230.7033807840161,228.9164337325608,230.78202921086245
5.974;230.71593585627494,228.91413448981564,230.81827772326386
6.004;230.81840038499695,229.07046007149253,230.95508753725204
6.034;230.920864913719,229.22678565316943,231.09189735124025
6.064;231.023329442441,229.38311123484633,231.22870716522843
6.094;231.12579397116303,229.5394368165232,231.3655169792166
6.124;231.2045464400743,229.59364926769334,231.4068223657454
6.154;231.27737089403286,229.6223334362368,231.42425164540936
6.184;231.35019534799144,229.65101760478024,231.4416809250733
6.214;231.41212152055581,229.67703836808087,231.46902547847486
6.244;231.45770027102887,229.69906402351734,231.51124294248282
6.274;231.50327902150192,229.72108967895377,231.55346040649079
6.304;231.5537899302374,229.7497015143713,231.60218889779324
6.334;231.74733342858278,229.96931256924057,231.83973718063592
6.364;231.94087692692815,230.18892362410986,232.0772854634786
6.394;232.1344204252735,230.40853467897912,232.3148337463213
6.424;232.32796392361888,230.62814573384838,232.552382029164
6.454;232.27363131349904,230.59687281229037,232.51547941585542
6.484;231.93601172227608,230.27887534624398,232.16491863551684
6.514;231.68862600157775,230.02683832846762,231.90183958080132
6.544;231.73772299831737,229.99152849786415,231.9262004817046
6.574;231.78681999505702,229.95621866726069,231.95056138260784
6.604;231.83591699179664,229.92090883665725,231.9749222835111
6.634;231.87481012485446,229.91626384211747,232.018364509581
6.664;231.8932955305487,229.97294851970508,232.09996938598422
6.694;231.9117809362429,230.0296331972927,232.18157426238744
6.724;231.9302663419371,230.0863178748803,232.2631791387907
6.754;231.75691784322177,229.96059427998605,232.0625572151739
6.784;231.56225446623873,229.8146030992605,231.83057675822158
6.814;231.36759108925565,229.6686119185349,231.59859630126925
6.844;231.27707115938506,229.58201839003436,231.4709167905605
6.874;231.2906946766269,229.55482251375884,231.44753822609528
6.904;231.3043181938688,229.5276266374833,231.42415966163006
6.934;231.31794171111065,229.50043076120778,231.40078109716484
6.964;231.3359839578987,229.47910990623618,231.38287641703505
6.994;231.4821693615257,229.62816466907884,231.52371438263228
7.024;231.62835476515272,229.77721943192154,231.66455234822953
7.054;231.77454016877974,229.9262741947642,231.80539031382676
7.084;231.92072557240678,230.07532895760687,231.946228279424
7.114;231.85037695942623,229.99885665930475,231.9056864802989
7.144;231.6144435102164,229.74992249071545,231.72644250815088
7.174;231.37851006100655,229.50098832212615,231.54719853600287
7.204;231.2035612908462,229.3206176054925,231.42463614503848
7.234;231.27255123688371,229.41450069668136,231.52880007880853
7.264;231.34154118292125,229.50838378787023,231.6329640125786
7.294;231.41053112895878,229.60226687905913,231.73712794634866
7.324;231.36822849776985,229.59467851143023,231.72594107693686
7.354;231.30366735113566,229.5667958520378,231.6916840468887
7.384;231.23910620450147,229.53891319264537,231.6574270168405
7.414;231.17490974510565,229.4898024084125,231.61685888738126
7.444;231.11171617561544,229.3823142808684,231.55893523454156
7.474;231.0485226061252,229.27482615332428,231.50101158170187
7.504;230.985329036635,229.1673380257802,231.44308792886218
7.534;230.92213546714478,229.0598498982361,231.38516427602246
7.564;230.99592473010964,229.19265788372843,231.38430816444836
7.594;231.10395970118827,229.38553989747987,231.39771893819065
7.624;231.34546882958108,229.6403352793708,231.6291311806128
7.654;231.67596072951665,229.93640624002134,232.00587773548824
7.684;232.00645262945218,230.2324772006719,232.38262429036365
7.714;232.2469739717926,230.44560796874077,232.62979667954593
7.744;232.19187776774896,230.3862209611841,232.45122538145074
7.774;232.1367815637053,230.32683395362747,232.27265408335555
7.804;232.08168535966166,230.26744694607083,232.09408278526035
7.834;232.026589155618,230.20805993851417,231.91551148716516
7.864;232.07051831149448,230.2650065146107,231.9327861208575
7.894;232.2629855072511,230.49645346618698,232.24382965223108
7.924;232.45545270300772,230.72790041776327,232.55487318360468
7.954;232.64791989876434,230.95934736933953,232.86591671497828
7.984;232.84038709452096,231.1907943209158,233.17696024635188
8.014;232.745275728685,231.11588349890602,233.11220037316593
8.044;232.64024786072514,231.03040861573805,233.03448176189173
8.074;232.44058782805476,230.8118338335443,232.80529464395389
8.104;232.16856202237042,230.49147677562496,232.46027866797917
8.134;231.91245432172423,230.19352673577447,232.13711686180923
8.164;231.7598143038258,230.04122231337163,231.95600715937059
8.194;231.60717428592736,229.88891789096877,231.7748974569319
8.224;231.45453426802894,229.7366134685659,231.59378775449326
8.254;231.36133137917636,229.58584418093227,231.3924278598091
8.284;231.307753243021,229.43609831647814,231.17756783696126
8.314;231.25417510686566,229.286352452024,230.96270781411343
