time;interpolated Pixel leftCheek
10.144;213.84706477732794,202.72597278452542,205.82756691408005
10.174;213.9116910454287,202.7854562265201,205.9607750264655
10.204;213.95387440881234,202.84558044689436,206.08755332212425
10.234;213.99605777219597,202.90570466726862,206.21433161778296
10.264;213.968360295852,202.9379099207366,206.2505590311133
10.294;213.81995955088763,202.92189150409368,206.1303803749674
10.324;213.70917379507335,202.92205830914386,206.04631422559956
10.354;213.84288546873478,203.02742905519912,206.19697937028943
10.384;213.97659714239617,203.1327998012544,206.34764451497927
10.414;214.1103088160576,203.2381705473097,206.49830965966913
10.444;214.17539948043267,203.29989358258618,206.5696136739943
10.474;214.12196294694954,203.2862251174266,206.503839372235
10.504;214.0685264134664,203.27255665226699,206.4380650704757
10.534;214.01508987998326,203.25888818710737,206.3722907687164
10.564;213.96165334650013,203.2452197219478,206.30651646695708
10.594;213.96208513143395,203.3037996345416,206.38097337433362
10.624;213.96850228508077,203.3704071446636,206.47101152716968
10.654;213.9749194387276,203.4370146547856,206.56104968000574
10.684;213.7718992703611,203.1732887854006,206.32042974198873
10.714;213.38562144523294,202.62052120894697,205.79048397447528
10.744;212.99934362010478,202.06775363249335,205.26053820696183
10.774;212.62758637062217,201.56270254973748,204.77322017443635
10.804;212.3284319993673,201.29623393547033,204.49904081685054
10.834;212.0292776281124,201.02976532120317,204.2248614592648
10.864;211.73012325685752,200.76329670693602,203.95068210167898
10.894;211.48589550569525,200.46297211727892,203.7013099434347
10.924;211.28367046401561,200.13675766408838,203.47090799645153
10.954;211.08144542233597,199.81054321089783,203.24050604946837
10.984;210.8792203806563,199.4843287577073,203.0101041024852
11.014;210.68371450855577,199.1703490845492,202.78421713988593
11.044;210.68306455424954,199.21117803233227,202.68926472441936
11.074;210.6824145999433,199.25200698011534,202.59431230895282
11.104;210.68176464563703,199.2928359278984,202.4993598934863
11.134;213.6307936468172,198.7284770322678,201.9269080726523
11.164;218.8354594963105,197.70132743285023,200.98930964771384
