time;Pixel leftCheek
13.786;223.94411006018916,198.73430782459158,198.22484952708513
13.888;224.00558059669456,199.02747370680405,198.14917364241253
14.023;224.487432867884,199.4923737916219,198.91514500537056
14.124;224.63204937220686,199.60395828899766,199.21940838476272
14.191;224.42942430703624,199.4091684434968,198.64307036247334
14.291;224.29875696528075,199.38962708958422,198.71688812687526
14.392;224.39402289105553,199.74289953370072,198.97795676133956
14.499;224.57136742991653,199.9631928097582,199.42734859833084
14.602;223.74175588865097,198.54368308351178,198.32633832976447
14.703;223.80878552971575,198.82859603789836,198.3514211886305
14.768;222.5964499572284,198.99871685201026,204.3975620188195
14.869;223.59424645770716,198.6519965650494,197.9570631172177
15.004;224.0506902502157,199.1481880931838,198.64710957722176
15.104;223.88453389830508,198.83029661016948,198.3529661016949
15.205;223.37066381156316,198.6340471092077,197.9561027837259
15.306;223.38070628768304,198.40288544358313,197.3951335055986
15.376;223.38829560017086,198.27765912003417,197.64160615121742
15.443;223.93379340090576,199.06836316583997,197.9708863489325
15.546;223.26331679965494,198.33167996549494,197.73883976709078
15.681;222.8194295517907,197.52841518335836,196.67231396096932
15.781;223.31924479725382,198.02102553100192,197.37545591074877
15.882;222.96058582812836,197.72410079689857,197.2274391557183
15.982;223.17294852466077,198.26383803575274,197.9256945940125
16.052;223.91630993150685,198.55500856164383,198.3662243150685
16.12;223.74581365392874,198.6298840704165,198.09317303563762
16.269;223.66358356635837,198.5016132501613,197.956979995698
16.371;223.55126555126554,198.26640926640925,197.33826683826683
16.473;223.52166452166452,198.39939939939939,197.8086658086658
16.548;223.46656632982155,198.3622876800688,197.453880885831
16.683;223.85358935195288,198.31747763473706,198.09906174994546
16.785;223.64799655320982,198.2772511848341,197.78953037483842
16.886;223.95596529284165,198.94295010845988,198.33752711496746
17.052;224.04082969432315,199.14890829694323,198.57510917030567
17.186;224.1551798872995,199.36020806241874,198.93086259211097
17.287;222.75466377440347,199.34859002169196,204.60498915401303
17.389;224.13532359991282,198.66049248202222,202.05643931139682
17.457;223.57835740461306,198.35179995688725,197.85061435654237
17.523;223.64324207803406,198.22957533951282,199.41539124811382
17.627;223.58899322996288,198.4271675038218,200.094125354881
17.734;223.44522348816827,197.90622261174408,199.82033304119193
17.836;222.3230195303928,198.46477946017117,203.7098968619706
17.938;214.04916958041957,200.68662587412587,204.2701048951049
18.04;223.67102111909426,198.17548443283258,197.8549967341607
18.14;223.51270910275906,198.48859439495982,198.23810558331522
18.213;223.71344775146645,198.63415164023462,197.74820769063655
18.316;224.01611849270313,198.810063167066,198.45502069265956
18.416;217.1023102310231,199.36897689768978,204.03806380638065
18.551;211.8502510368915,200.52172014843921,203.9502292075966
18.619;211.93838759012453,200.39807734323793,204.19379506226787
18.72;210.90666100975815,199.59142978362325,203.32732286805262
18.82;211.89173482565647,200.48708566508824,203.89991390443393
18.921;212.35170038743004,201.02389151958675,204.63904433921653
19.023;212.47391116860715,201.3253557567917,204.88831392841743
19.123;211.72204196409257,200.618213281419,204.0389357560026
19.231;222.27266782911946,198.83064516129033,202.21621621621622
19.363;223.28926159878023,197.80265737312132,197.65606621651057
19.465;223.44390885188432,198.07515337423314,198.0764680105171
19.539;222.9516129032258,197.25247311827957,196.8952688172043
19.678;222.56965013951492,196.98218501824425,196.44859411890963
19.779;222.63708981001727,197.23035405872193,196.95833333333334
19.847;222.75059076262085,197.20644468313643,196.93104189044038
19.92;222.6084142394822,197.48629989212515,197.0064724919094
20.021;222.63773422356235,197.34934309713546,196.4014645703209
20.155;222.77804090419806,197.35780409041982,196.65037674919267
20.255;222.48770665536244,197.3143281051293,196.39932174650275
20.356;222.60365724005953,197.09185626196046,196.67552625983416
20.457;222.7535181236674,197.1780383795309,196.8859275053305
20.524;222.40926476838078,197.06119847003825,196.24883127921802
20.595;222.39702760084927,197.03014861995754,196.46730360934183
20.734;222.63980333475845,197.44826849080803,196.9166310389055
20.834;222.66887558785805,197.8157332193245,197.35848653270628
20.902;222.9737572007681,197.90334969063366,197.40260294431405
21.002;223.01649175412294,197.94495609338188,196.8736346112658
21.072;222.83627847562275,198.03619331488184,197.28145624866937
21.174;223.08779761904762,197.89200680272108,197.36054421768708
21.278;223.10449678800856,198.06188436830834,197.43854389721628
21.348;222.66425377900788,197.60591867149245,197.1075154353843
21.449;222.87800723866297,197.3033851394507,196.80711092186502
21.516;222.8328666810252,198.0596597027784,197.31208270514753
21.588;223.69010752688172,198.49290322580646,198.34172043010753
21.689;223.32450331125827,198.54945524460587,197.87929929502243
21.791;223.52019767941556,198.8104856037817,198.12892135797165
