time;interpolated Pixel rightCheek
6.394;178.420242785848,174.52926859212815,176.20732483713655
6.424;179.7279221444944,175.82521494685975,177.57063154444052
6.454;179.36298072923046,175.50918237173147,177.22206374049205
6.484;177.08647271521178,173.35088816247762,174.9170679236837
6.514;175.24605749789137,171.5777172352863,173.0331493766526
6.544;174.8385186125796,171.06995137772887,172.53277043031824
6.574;174.43097972726784,170.56218552017145,172.03239148398387
6.604;174.02344084195607,170.05441966261404,171.5320125376495
6.634;173.6972299545115,169.66028752800597,171.14706531332746
6.664;173.53367506280128,169.4934228392966,170.99298153303008
6.694;173.37012017109103,169.3265581505873,170.8388977527327
6.724;173.2065652793808,169.15969346187794,170.68481397243534
6.754;172.5257684625445,168.51869975010356,169.98375952389668
6.784;171.7875003206942,167.82502503576643,169.22193055666457
6.814;171.04923217884388,167.13135032142927,168.46010158943247
6.844;170.93703406637823,167.05480562493872,168.36689629319767
6.874;171.45090598329728,167.59539094629474,168.94231466796018
6.904;171.96477790021632,168.13597626765076,169.5177330427227
6.934;172.47864981713533,168.6765615890068,170.09315141748525
6.964;172.98035827329568,169.20508578914212,170.65340998949262
6.994;173.12932636745404,169.38383747387672,170.77403428160068
7.024;173.27829446161238,169.56258915861133,170.89465857370877
7.054;173.42726255577074,169.74134084334594,171.01528286581683
7.084;173.57623064992907,169.92009252808054,171.1359071579249
7.114;173.4745758683703,169.7990866317866,171.02557803645286
7.144;173.18126829949844,169.4488543500002,170.7386374810666
7.174;172.8879607306266,169.09862206821379,170.45169692568035
7.204;172.41840742623702,168.59077120941294,170.0025108433859
7.234;171.2438711797766,167.45244604255421,168.90434265345863
7.264;170.06933493331613,166.3141208756955,167.80617446353133
7.294;168.8947986868557,165.17579570883677,166.70800627360407
7.324;168.0660855294393,164.3048118779093,165.86427503314994
7.354;167.30653698983176,163.48729631416805,165.07143118259043
7.384;166.5469884502242,162.6697807504268,164.27858733203092
7.414;165.70035354992993,161.77694658613012,163.4000010307578
7.444;164.61423115774718,160.67698627030595,162.28562299002226
7.474;163.52810876556444,159.57702595448174,161.17124494928672
7.504;162.44198637338172,158.47706563865754,160.05686690855117
7.534;161.35586398119898,157.37710532283336,158.94248886781563
7.564;165.27188508933082,161.17920956080397,162.74014648020233
7.594;170.4384420725413,166.2068299372233,167.76581300586957
7.624;172.98932105560775,168.75947967823228,170.33205597007625
7.654;173.79641470524487,169.6621489956344,171.25868322664255
7.684;174.60350835488197,170.56481831303654,172.1853104832088
7.714;175.45842901460406,171.47909103362684,173.1275494689946
7.744;176.47049556460536,172.43148922183548,174.1210841365016
7.774;177.48256211460665,173.38388741004408,175.1146188040086
7.804;178.49462866460794,174.33628559825272,176.10815347151555
7.834;179.5066952146092,175.28868378646132,177.10168813902254
7.864;179.790146403359,175.56522377082243,177.38885161399594
7.894;178.98067455023147,174.82797644941226,176.61645830016892
7.924;178.17120269710395,174.0907291280021,175.8440649863419
7.954;177.36173084397646,173.35348180659193,175.07167167251487
7.984;176.55225899084894,172.61623448518176,174.29927835868787
8.014;178.10677841006762,174.1239505979947,175.90220523039008
8.044;179.74281476971206,175.70907924302227,177.58703969469676
8.074;179.15962257003608,175.1570101282809,177.00289688419926
8.104;176.87937323676218,172.9706133148927,174.6836538047338
8.134;174.94189027287877,171.12245410188277,172.71556888231476
8.164;175.23238871003366,171.47283929133172,173.03001198069703
8.194;175.52288714718856,171.82322448078068,173.3444550790793
8.224;175.81338558434342,172.17360967022964,173.65889817746157
8.254;176.46390787210888,172.79472505266529,174.31267207647605
8.284;177.3544460602814,173.59632723042537,175.19266650924536
8.314;178.2449842484539,174.3979294081855,176.07266094201464
8.344;178.43565356109022,174.5501451341008,176.26032600996933
8.374;176.32675371125055,172.5686625182403,174.17319459353314
8.404;174.21785386141087,170.58717990237983,172.08606317709697
8.434;172.1089540115712,168.60569728651933,169.99893176066078
8.464;172.5036157099991,168.9321393658522,170.34675412417133
8.494;174.1500581825608,170.41254379278178,171.91205337765518
8.524;175.7965006551225,171.89294821971137,173.47735263113907
8.554;177.7416212882215,173.76465966257706,175.42523011387263
8.584;180.2840982423951,176.41898513731505,178.13826405510554
8.614;182.8265751965687,179.07331061205304,180.85129799633847
8.644;185.3690521507423,181.72763608679102,183.56433193757138
8.674;183.1354030977403,179.41195540690896,181.22097392668786
8.704;180.90175404473825,177.09627472702687,178.87761591580434
8.734;178.66810499173624,174.7805940471448,176.53425790492082
8.764;178.74458621948216,172.85650968929298,174.5666419452428
8.794;180.84243144288249,171.2750721132176,172.92780028036955
8.824;182.94027666628284,169.6936345371422,171.2889586154963
8.854;184.81860990370797,168.2598552858283,169.7341369318847
8.884;184.721335267356,168.15500095736766,168.93549507962794
8.914;184.62406063100406,168.05014662890704,168.13685322737115
8.944;184.52678599465213,167.9452923004464,167.33821137511438
8.974;184.42951135830018,167.84043797198575,166.53956952285762
9.004;182.80619160811324,167.73706833889392,166.54386941667303
9.034;180.16550844870298,167.63468850271457,167.08346380786995
9.064;177.52482528929272,167.53230866653524,167.62305819906686
9.094;174.8841421298825,167.42992883035592,168.16265259026378
9.124;172.5431006092726,167.3440995859762,168.65591291213423
9.154;172.89883383786633,167.40722566779314,168.7321666100665
9.184;173.25456706646008,167.47035174961007,168.8084203079988
9.214;173.6103002950538,167.533477831427,168.8846740059311
9.244;173.96603352364752,167.59660391324394,168.96092770386338
9.274;174.2453085143162,167.62611696926493,169.0008067742084
9.304;173.4541681740341,167.18504766414245,168.53144105833158
9.334;172.663027833752,166.74397835902,168.06207534245476
9.364;171.87188749346993,166.3029090538975,167.59270962657794
9.394;171.08074715318782,165.86183974877505,167.12334391070112
9.424;171.36519981752838,166.28412534802092,167.54836285506119
9.454;172.3667144849507,167.28198088351235,168.56963823957915
9.484;173.36822915237303,168.27983641900377,169.59091362409708
9.514;174.2023853296629,169.10807129695795,170.44926063832406
9.544;173.94871132109185,168.83377190091977,170.24857324565974
9.574;173.6950373125208,168.55947250488163,170.0478858529954
9.604;173.44136330394977,168.28517310884345,169.84719846033107
9.634;173.3580260533017,168.21114757715327,169.7386726973533
9.664;173.32653042463022,168.19807496069942,169.65819612601928
9.694;173.2950347959587,168.18500234424556,169.57771955468527
9.724;173.31215580658625,168.21198948367552,169.56300655262
9.754;173.4022017761624,168.29906625693118,169.64693890445793
9.784;173.49224774573852,168.38614303018687,169.7308712562958
9.814;173.58229371531465,168.47321980344253,169.81480360813373
9.844;173.67233968489077,168.56029657669822,169.89873595997165
9.874;173.60576218081576,168.4859911784177,169.82590597823227
9.904;173.52799728576568,168.4001584821703,169.7418786869517
9.934;173.4502323907156,168.3143257859229,169.65785139567112
9.964;173.37246749566552,168.2284930896755,169.57382410439052
9.994;173.42192933146978,168.2434623560472,169.61034530880872
10.024;173.59861789812842,168.35923358503797,169.7674150089257
10.054;173.77530646478706,168.47500481402875,169.92448470904264
10.084;174.16266127357622,168.82989989218459,170.29618453833766
10.114;175.91934665621352,170.73909998991337,172.06298020729008
10.144;177.67603203885082,172.64830008764218,173.8297758762425
10.174;177.8704904468928,172.8502544909156,174.13323663743546
10.204;177.49686631871833,172.43139227802345,173.9045756139886
10.234;177.12324219054386,172.01253006513127,173.67591459054177
10.264;176.77265106848702,171.59762144732207,173.3093913781813
10.294;176.46184422972425,171.18954176647435,172.70474256678818
10.324;176.18221473869886,170.83415055349596,172.17143698360442
10.354;176.10523800796642,170.82123438166838,172.10186238378117
10.384;176.02826127723395,170.8083182098408,172.0322877839579
10.414;175.95128454650148,170.79540203801318,171.96271318413466
10.444;175.88604756549373,170.76167169618915,171.91349416952914
10.474;175.84108833401044,170.6919896061895,171.8994348021179
10.504;175.79612910252717,170.62230751618984,171.88537543470665
10.534;175.75116987104388,170.55262542619016,171.8713160672954
10.564;175.70621063956062,170.4829433361905,171.85725669988415
10.594;175.935577412428,170.72891448519715,172.075571603185
10.624;176.19542485244546,171.00995821631562,172.3197058698983
10.654;176.45527229246292,171.29100194743413,172.56384013661165
10.684;176.58553428026534,171.4599686127827,172.73533641374232
10.714;176.60240899737957,171.53086784558258,172.84327444998823
10.744;176.61928371449383,171.6017670783825,172.95121248623414
10.774;176.34570373723582,171.3481745002153,172.733944322808
10.804;174.6198502881165,169.47212286721273,170.89064516102155
10.834;172.8939968389972,167.59607123421017,169.0473459992351
10.864;171.16814338987786,165.7200196012076,167.20404683744866
10.894;170.89011938627402,165.37181508905087,166.88679772280702
10.924;171.7192590762997,166.19196425754092,167.73652805598195
10.954;172.54839876632533,167.01211342603094,168.58625838915688
10.984;173.37753845635098,167.83226259452098,169.4359887223318
11.014;174.17523167332178,168.62254011903863,170.25230354855722
11.044;174.06097717170195,168.5465399683568,170.09956867324644
11.074;173.94672267008212,168.47053981767496,169.94683379793565
11.104;173.83246816846227,168.39453966699313,169.79409892262487
11.134;176.611327630981,167.83138092125776,169.23106316539352
11.164;181.60256836019389,166.89568913224616,168.35426791022286
11.194;184.6829008401102,166.04791722219085,167.40607145319777
11.224;183.30444740500116,165.40529169636687,166.29127219184554
11.254;181.9259939698921,164.76266617054293,165.17647293049333
11.284;180.54754053478302,164.12004064471896,164.0616736691411
11.314;181.2928045368334,164.77338889160697,164.02730867317408
11.344;182.189762641538,165.51930669368866,164.07011755330598
11.374;183.14740627334774,165.96877232601202,164.29744198013742
11.404;184.15145648470846,166.19153924028478,164.6658665309156
11.434;185.1555066960692,166.4143061545576,165.03429108169374
11.464;186.08463136666703,166.76383806874597,165.49003159268122
11.494;186.76757211761532,167.5298835540855,166.23266740149947
11.524;187.4505128685636,168.29592903942503,166.9753032103177
11.554;188.1334536195119,169.0619745247646,167.7179390191359
11.584;188.81639437046022,169.82802001010413,168.46057482795416
11.614;188.68834028252604,169.65001996801055,168.29989220118168
11.644;188.21271697792793,169.0674289855885,167.75207310201318
11.674;187.66991293086534,168.51951422500235,167.1847221262862
11.704;187.02633777010598,168.02361379717007,166.58807333572148
11.734;186.38276260934663,167.52771336933776,165.99142454515678
11.764;185.73918744858727,167.03181294150548,165.39477575459205
11.794;186.10809968183173,167.30248420799094,165.7068693343712
11.824;186.78516025238173,167.80645990318177,166.29553667903758
11.854;187.4622208229317,168.31043559837264,166.884204023704
11.884;188.10806708070038,168.83386554589134,167.44191032857623
11.914;188.70709186929705,169.38647687190186,167.9531750737572
11.944;189.3061166578937,169.93908819791235,168.46443981893816
11.974;189.90514144649038,170.49169952392285,168.97570456411913
12.004;190.61140577056005,171.22198836057635,169.76467174473635
12.034;191.34447997849796,171.9966965748906,170.6230645342126
12.064;192.0775541864359,172.77140478920484,171.4814573236889
12.094;192.8106283943738,173.54611300351908,172.33985011316514
12.124;193.13713458810395,173.9212988934955,172.7541216468521
12.154;191.837368725003,172.69839548612066,171.39190815738172
12.184;190.53760286190203,171.4754920787458,170.02969466791137
12.214;189.23783699880107,170.25258867137092,168.66748117844102
12.244;189.79564763223945,170.8390152990554,169.20820325491135
12.274;190.63923926514545,171.7038003936721,170.04168464921872
12.304;191.0053539836742,172.01642664266427,170.3594113721717
12.334;190.95367640212297,171.845913901735,170.22585275768955
12.364;190.90199882057172,171.67540116080573,170.09229414320743
