time;Pixel forehead
10.668;231.1386529725459,227.71696622555797,229.80229113174008
10.769;230.4492041658479,226.9534289644331,228.96836313617607
10.877;229.84125144843568,226.18848976438778,227.9897643877945
11.013;228.95060240963855,224.46465863453815,226.45180722891567
11.117;228.89196787148595,224.47248995983935,226.38714859437752
11.185;238.65800436421344,223.18190835151756,225.63419956357865
11.286;237.15991387747113,223.81620669406928,224.57232335094932
11.357;237.1371270499901,224.26101560956332,223.05572021339657
11.457;238.79288537549408,224.22924901185772,222.96581027667983
11.593;238.89892984542212,224.4579865239794,223.40051525961158
11.662;238.81492537313432,224.10268656716417,223.163184079602
11.771;238.98781705612143,224.4507689235071,223.46335130816857
11.872;239.23101777059773,224.53231017770597,223.65791599353796
11.98;239.4361421319797,225.0548223350254,224.2458883248731
12.118;239.27458180334557,224.96022031823745,224.015503875969
12.218;239.39531568228105,225.00936863543788,224.0531568228106
12.288;239.47741671776006,225.2761087267525,224.5092989985694
12.389;239.52074391988555,225.34436950745965,224.48497854077254
12.456;239.66360294117646,225.4626225490196,224.61029411764707
12.556;239.54891526811298,225.20630372492838,224.14817846909537
12.691;239.53490276356192,225.31893551688844,224.61965199590583
12.76;239.37720739219714,225.15318275154004,224.1593429158111
12.862;239.51400531588632,225.08157840932324,224.43365364956043
12.961;239.36030471484455,225.23512456248713,224.3786287831995
13.073;239.4805435453984,225.26456660490015,224.42577722874202
13.207;239.34361505243677,225.20111042566316,224.22804852971416
13.275;239.69730392156862,225.3361928104575,224.2736928104575
13.345;239.70196640721016,225.57414993854977,224.7769356820975
13.424;239.49191206968064,225.6866445458316,224.639776026545
13.586;239.49300411522634,225.45534979423869,224.38168724279836
13.685;239.42613399916772,225.26570952975447,224.3347898460258
13.786;239.30932728023112,224.84709038382172,224.13392488650433
13.888;239.44933469805528,225.2229273285568,224.68249744114635
14.023;239.6420748088448,225.4790245918578,224.63153544120686
14.124;239.1602590890096,225.143334726285,224.33514417049727
14.191;239.42953569237062,225.29965228063,224.71896093270607
14.291;239.58293543699398,225.4201785343575,224.5711023458584
14.392;239.34386037814252,225.45044670683566,224.30563058383544
14.499;239.42401500938087,225.19887429643526,224.56368563685638
14.602;239.44474393531,225.13311217084802,224.43147418619117
14.703;239.07641470466749,224.97315159025197,224.2288310615448
14.768;238.33168418882704,224.8944547515976,228.71861471861473
14.869;239.06676282711726,224.8223779105708,224.10859262311973
15.004;239.40398439104538,225.1197371123434,224.71102895871843
15.104;239.23402935703947,224.7713458755427,224.27062228654125
15.205;239.3230043094603,225.17012107531295,224.4141186127642
15.306;239.23048094940663,225.04247345409118,224.51051426191964
15.376;239.5456223087964,225.16034447406193,224.69161369694484
15.443;239.4628489326765,225.16317733990147,224.4630541871921
15.546;239.190065681445,224.97762725779967,224.23522167487684
15.681;239.27830188679246,224.76927809680066,223.94216570959804
15.781;238.99097065462755,224.60804432587727,224.07715986045557
15.882;238.93321002877107,224.47718865598029,223.8292231812577
15.982;239.22440132122213,224.78385631709332,224.1315028901734
16.052;239.1630029033596,224.7221070095396,224.1959767731232
16.12;239.02487664473685,224.7555509868421,223.96196546052633
16.269;239.1575682382134,224.65343258891647,223.99917287014063
16.371;239.09931577856105,224.50964130209414,223.85154468173337
16.473;239.09868421052633,224.9035773026316,224.28166118421052
16.548;239.289375,224.94104166666668,224.32291666666666
16.683;238.93906115417744,224.4384151593454,223.4461670973299
16.785;239.03946813001266,224.39404812157028,223.8427606585057
16.886;239.03843689942346,224.61136023916293,223.9483237241085
17.052;239.11862244897958,224.67708333333334,224.22385204081633
17.186;239.0785440613027,224.73499361430396,224.1743295019157
17.287;238.327420388972,225.3502885231887,229.44111989741398
17.389;239.34586148648648,224.7170608108108,227.5029560810811
17.457;239.095167127954,224.89269746646795,224.3923781136896
17.523;239.23845007451564,224.7589951032574,225.92229082393015
17.627;239.27205727521584,224.61612971151823,226.08212255211623
17.734;239.2390098164746,224.66453265044814,225.85787451984635
17.836;237.90252784918596,224.3731790916881,228.37789203084833
17.938;230.95366962546007,225.67958432561161,228.08248538644727
18.04;238.39040207522697,223.77950713359274,223.07263294422827
18.14;238.4995682210708,223.80699481865284,223.20379965457687
18.213;238.4965457685665,223.90695164075993,223.33398100172712
18.316;238.40996085254457,223.97411918225316,223.3142670726403
18.416;233.62063765618268,225.15101249461438,228.2229642395519
18.551;229.7982766239505,225.9553689792311,227.99337163057888
18.619;229.67629933146432,225.89885701962476,227.79232262238517
18.72;230.43642105263157,226.95347368421054,228.93894736842105
18.82;230.0807545570157,226.46036456125478,228.5150487494701
18.921;230.18630775752436,226.6186943620178,228.51632047477744
19.023;230.39859842854108,227.13803355277128,228.94011467402845
19.123;230.62872858049502,227.11973767717367,228.95684366405754
19.231;238.36152535151257,225.6148274392842,228.09842351938644
19.363;239.31902231668437,225.60680127523912,224.9479277364506
19.465;239.3711144005075,225.3332628462677,224.71072108268132
19.539;239.5224660397074,225.68631138975965,225.43239289446186
19.678;239.54929872304794,225.52375968180866,225.2097550764078
19.779;239.63828451882844,225.5571129707113,225.17991631799163
19.847;239.5987061769616,225.56636060100166,225.04152754590984
19.92;239.55733944954127,225.53628023352795,225.11259382819017
20.021;239.70439330543934,225.7755230125523,225.244769874477
20.155;239.89704959196484,226.25277254655785,225.81607030759574
20.255;239.7599082186066,226.33041301627034,225.78556528994577
20.356;239.99915913390794,226.37838974143366,226.07252470044145
20.457;239.87489626556015,226.16991701244814,225.75082987551866
20.524;239.90288823775637,226.0094181665969,225.92423608204268
20.595;239.96538060479665,226.41751824817518,225.8162669447341
20.734;239.89368840427764,226.32040260012582,225.7441811700566
20.834;239.6957433424198,226.45732858041518,225.79974837492136
20.902;239.93563218390804,226.15047021943573,225.61024033437826
21.002;239.88293193717277,226.28397905759164,225.71476439790575
21.072;239.82561535252398,226.19962453066333,225.67250730079266
21.174;239.55975762641037,225.76535729210195,225.2258671124112
21.278;239.4685534591195,225.73605870020964,225.14507337526206
21.348;239.42881037006063,225.5438009617395,225.2234998954631
21.449;239.12377169140706,225.28831277440938,224.70687852812043
21.516;239.545263600084,225.65637471119513,225.19323671497585
21.588;239.70222595548088,225.94960100797985,225.72889542209157
21.689;239.5376254180602,225.90301003344482,225.54034280936455
21.791;239.68425460636516,225.99350921273032,225.6712730318258
21.892;240.01448666806635,226.05626705857654,225.8135628805375
21.998;239.81288021816655,225.99202852947346,225.69498636458988
22.149;239.68142525827534,225.83364958886781,225.65612481551761
22.283;239.67561284868978,225.9991546914624,225.7394336432798
22.385;239.8070286195286,226.15151515151516,225.80597643097644
22.454;239.9210193765796,226.26621735467566,225.68239258635214
22.526;239.57184689395524,225.82827860280275,225.46057310186154
22.597;239.5328282828283,226.00273569023568,225.4844276094276
22.704;239.7098063973064,226.0452441077441,225.79545454545453
22.838;239.75409148132607,226.16722618548047,225.77444397817877
22.938;239.7627190204771,225.95017943846315,225.55119273801984
23.039;239.84318277754326,226.10658505698606,225.74968341072181
23.139;239.9352412784625,226.26592855650722,226.02109880927512
23.24;239.6821052631579,225.8035789473684,225.54147368421053
23.341;239.86242943759146,226.17520384695797,226.03010662763955
23.441;239.8159882501049,226.25556021821234,225.95279060008392
23.514;239.83407313464383,226.12640033819488,225.88205453392519
23.581;239.61232267626508,226.11941562566165,225.61867457124708
23.679;239.86640016831475,226.43109614980014,225.86640016831475
23.779;239.76108998732573,226.35889311364596,225.90409801436417
23.881;240.1429171920975,226.4808743169399,226.0199663724254
23.98;240.01985216473074,226.63970432946147,226.05131995776136
24.081;240.14358001265023,226.56841661395742,226.4235715791693
24.183;239.84204909284952,226.20384204909286,225.95624332977587
24.252;239.85181303709913,226.2538251938797,226.1219870048208
24.367;239.89245721529684,226.21909993661527,225.80012676949082
24.503;239.57356031946196,225.7927700714586,225.23139974779318
24.605;239.37328550327072,225.71808398396286,225.12006752479425
24.678;239.3563559322034,225.6614406779661,224.79088983050846
24.744;239.38990536277603,225.7093585699264,225.03133543638276
24.814;239.335852225021,225.69794290512175,225.10978169605374
24.916;239.49376453181145,225.7552314521243,224.95476643415768
25.068;239.47493681550125,225.53180286436395,225.03854254422916
25.271;239.41675458957587,225.51635366110995,225.08398396286137
25.373;239.450582010582,225.73544973544975,225.30455026455027
25.507;239.67056074766356,225.94774851316907,225.1926508071368
25.612;239.48238024899769,225.72842371808397,225.2029964127453
25.747;239.60067681895094,226.20494923857868,225.53553299492387
25.848;239.49968321013728,226.10559662090813,225.620696937698
25.917;239.2779303062302,225.80549102428722,225.4699049630412
25.984;239.43682310469313,225.77893395625398,225.37587598216183
26.085;239.65663416701992,226.03348876642644,225.6494277236117
26.162;239.46348137234267,225.88760260997685,225.3664491685961
26.298;239.64710848459265,226.1103841283242,225.39679189531446
26.399;239.77831783601013,226.35798816568047,225.7656382079459
26.5;239.59641255605382,225.9801409352979,225.6811872731155
26.61;239.522955370489,226.1178731582319,225.64979713858637
26.71;239.31708350996186,225.97626112759644,224.95146248410344
26.812;239.3898916967509,225.71565088129114,225.22276491824167
26.878;239.53225126475547,225.98777403035413,225.4281197301855
26.955;239.37037037037038,225.96169312169312,225.53164021164022
27.09;239.24010056568196,225.65723863398281,225.31615336266498
27.191;239.22959508161966,225.61670553317788,225.1621793512826
27.257;239.24761500953997,225.64066143735425,225.29531481874074
27.347;239.31027878271973,225.9399872313258,225.69142370717174
27.482;239.4905620805369,226.08284395973155,225.8288590604027
27.551;239.4592998734711,225.8888654576128,225.40109658371995
27.686;239.59937304075234,226.28568443051202,226.02863113897595
27.825;239.39585097375107,225.78492802709567,225.6723116003387
27.925;239.2446118434819,225.6411383134547,225.2799748901444
28.098;239.1436672967864,225.37114051669818,225.040747742071
28.266;239.1880858154551,225.41470526973546,225.12226619454282
28.367;238.42442339373972,224.42833607907744,224.3830313014827
28.469;237.9634346754314,223.75821692686935,223.17789646672145
28.541;237.74072547403134,223.068219291014,222.54225061830172
28.642;237.79581795817958,223.5090200902009,222.72427224272244
28.777;237.5404246631278,223.19599836668027,222.58615761535322
28.879;237.4113767518549,222.8241962077494,221.68404781533388
28.98;237.28418671601892,222.9035574748098,222.3283981081637
29.08;237.47591482323753,222.63076286954723,221.90841430638827
29.18;237.37637305699482,222.57678756476685,222.16227979274612
