time;interpolated Pixel forehead
4.292;246.38423349135167,235.7807330651397,237.1582738827429
4.322;246.48543771044493,235.86523711618804,237.28571701740364
4.352;246.58664192953822,235.9497411672364,237.41316015206442
4.382;246.68784614863148,236.03424521828472,237.5406032867252
4.412;246.6869253506246,236.03336119209473,237.55621186299717
4.442;246.64223668814623,235.9958822756597,237.5238913428168
4.472;246.59754802566786,235.9584033592247,237.49157082263645
4.502;246.5528593631895,235.92092444278967,237.4592503024561
4.532;246.50817070071113,235.88344552635465,237.42692978227575
4.562;246.45482683682562,235.8183193568974,237.35476380396048
4.592;246.34522416379346,235.57348604279565,237.0236023477684
4.622;246.23562149076133,235.32865272869392,236.69244089157627
4.652;246.12601881772918,235.0838194145922,236.36127943538418
4.682;246.1066614960067,235.05568660064318,236.34702703771546
4.712;246.11477015076971,235.09350611282758,236.42922522307558
4.742;246.12287880553276,235.131325625012,236.5114234084357
4.772;246.13098746029578,235.16914513719644,236.59362159379583
4.802;246.13909611505883,235.20696464938084,236.67581977915594
4.832;246.14627873979722,235.23968049354391,236.7441814742418
4.862;246.1497572444371,235.25198166562157,236.75719720823062
4.892;246.15323574907697,235.26428283769923,236.77021294221944
4.922;246.1567142537168,235.27658400977688,236.78322867620827
4.952;246.22909810575442,235.39991965393807,236.92478113892884
4.982;246.33101282096243,235.57084150042078,237.12142077110582
5.012;246.43292753617047,235.7417633469035,237.31806040328283
5.042;246.53484225137848,235.9126851933862,237.5147000354598
5.072;246.63675696658652,236.08360703986892,237.71133966763682
5.102;246.72407891215983,236.2216812021278,237.8651727451557
5.132;246.73843700955962,236.19551694326748,237.8049730493839
5.162;246.75279510695938,236.1693526844072,237.74477335361212
5.192;246.76715320435918,236.1431884255469,237.6845736578403
5.222;246.7661125953391,236.17193023213432,237.69152575369202
5.252;246.76038542349562,236.21738258037973,237.7189153513422
5.282;246.75465825165213,236.26283492862518,237.74630494899236
5.312;246.74893107980864,236.3082872768706,237.7736945466425
5.342;246.75779747865914,236.36190564742785,237.82201938763427
5.372;246.80071554246226,236.43457807004594,237.91919312975645
5.402;246.8436336062654,236.50725049266407,238.0163668718786
5.432;246.88655167006854,236.57992291528217,238.11354061400078
5.462;246.77353980788686,236.40503853948468,237.89205353955845
5.492;246.64939009384915,236.2124715352289,237.64780497821866
5.522;246.5252403798114,236.01990453097315,237.40355641687884
5.552;246.48768132107458,235.99364558596616,237.34668555496438
5.582;246.51633864580316,236.09456339214944,237.43310352202226
5.612;246.54499597053172,236.1954811983327,237.51952148908012
5.642;246.5584910157023,236.2489711936186,237.5652848871516
5.672;246.51133694264078,236.112749945315,237.4484300092776
5.702;246.4641828695793,235.9765286970114,237.33157513140358
5.732;246.4170287965178,235.8403074487078,237.21472025352958
5.762;246.3698747234563,235.7040862004042,237.09786537565557
5.792;246.32313057826389,235.5716408033487,236.98585609116952
5.822;246.28827434127467,235.5486950924889,237.01436901493437
5.852;246.2534181042855,235.5257493816291,237.04288193869922
5.882;246.21856186729627,235.50280367076928,237.07139486246408
5.912;246.1837056303071,235.47985795990948,237.09990778622893
5.942;246.21778452075492,235.55148835917382,237.17403190887094
5.972;246.34200934708196,235.74679521013897,237.30780144542922
6.002;246.466234173409,235.94210206110412,237.4415709819875
6.032;246.590458999736,236.13740891206925,237.57534051854577
6.062;246.71468382606304,236.3327157630344,237.70911005510405
6.092;246.80292187729148,236.5347320186389,237.95748230079496
6.122;246.88991900524064,236.73697963302405,238.20980636404215
6.152;246.9769161331898,236.9392272474092,238.46213042728937
6.182;247.08062240412298,237.14274662780622,238.71051231764093
6.212;247.19894917516714,237.34737880346358,238.95544480670884
6.242;247.3172759462113,237.55201097912095,239.20037729577675
6.272;247.43560271725548,237.75664315477832,239.44530978484462
6.302;247.5351740987625,237.9287166653982,239.64661051411193
6.332;247.46594697443533,237.80776219068085,239.45522540517382
6.362;247.39671985010816,237.6868077159635,239.2638402962357
6.392;247.32749272578096,237.56585324124617,239.07245518729763
6.422;247.33985011898278,237.57502866981469,239.03287733431182
6.452;247.41459567264795,237.68371520089593,239.10938738293657
6.482;247.48934122631312,237.79240173197718,239.18589743156136
6.512;247.54287896755042,237.87984372616603,239.24646548622601
6.542;247.49037764664828,237.86106303589273,239.2273235710901
6.572;247.43787632574615,237.84228234561942,239.20818165595418
6.602;247.385375004844,237.82350165534615,239.18903974081826
6.632;247.33287368394187,237.80472096507285,239.16989782568234
6.662;247.29386649440258,237.74897552740728,239.14164656685978
6.692;247.2606425040188,237.67738805514503,239.10949130360007
6.722;247.227418513635,237.60580058288275,239.07733604034038
6.752;247.20618940718126,237.55282779982,239.0520352507364
6.782;247.20895006858757,237.53708439515623,239.0404434084438
6.812;247.21171072999388,237.52134099049246,239.0288515661512
6.842;247.2144713914002,237.5055975858287,239.01725972385861
6.872;247.2172320528065,237.48985418116493,239.005667881566
6.902;247.21999271421282,237.47411077650116,238.9940760392734
6.932;247.21597820357405,237.44303937916143,238.96783736047587
6.962;247.20906004777314,237.40539884210338,238.93532146603332
6.992;247.20214189197222,237.36775830504536,238.90280557159076
7.022;247.1952237361713,237.33011776798733,238.87028967714824
7.052;247.1794223365462,237.28141645200668,238.83102348825904
7.082;247.13443313578435,237.19637257670888,238.76957776047368
7.112;247.08944393502253,237.11132870141108,238.7081320326883
7.142;247.04445473426068,237.02628482611328,238.64668630490294
7.172;246.99946553349884,236.94124095081548,238.5852405771176
7.202;247.09093258462119,237.09428422646465,238.70633659194516
