time;interpolated Pixel rightCheek
2.342;184.6135709421469,163.54299656955723,164.23266463517197
2.372;182.86583287511127,162.0450885295484,162.5666427285887
2.402;181.1180948080756,160.54718048953956,160.90062082200544
2.432;180.4476149807937,159.91730288294073,160.2072205123414
2.462;181.93165163301936,161.02348614316193,161.45906339651577
2.492;183.415688285245,162.12966940338313,162.71090628069018
2.522;184.89972493747067,163.2358526636043,163.96274916486456
2.552;185.30298815499575,163.70207083258276,164.36244448529328
2.582;185.6290532700422,164.1225772093296,164.7012721225973
2.612;185.95511838508867,164.54308358607642,165.0400997599013
2.642;186.2811835001351,164.96358996282325,165.3789273972053
2.672;186.55240679541188,165.29808491766346,165.7162761791588
2.702;186.75191386483598,165.52010339770277,166.05169107334626
2.732;186.95142093426009,165.74212187774205,166.38710596753373
2.762;187.1509280036842,165.96414035778133,166.72252086172116
2.792;187.3504350731083,166.18615883782064,167.05793575590863
2.822;188.18441971245224,166.89547438280286,167.74606667122342
2.852;189.06372417821905,167.6395968609953,168.45939158804728
2.882;189.94302864398588,168.38371933918773,169.17271650487115
2.912;191.65553540693386,169.9671632106658,170.78736476518318
2.942;193.9235103680026,172.1101546776676,173.00289525448733
2.972;196.19148532907138,174.2531461446694,175.2184257437915
3.002;198.45946029014016,176.39613761167118,177.43395623309564
3.032;200.5204532281708,178.33690224481253,179.44639897382487
3.062;200.71860795885837,178.45762537320988,179.63105197737968
3.092;200.91676268954592,178.5783485016072,179.8157049809345
3.122;201.1149174202335,178.69907163000454,180.0003579844893
3.152;201.333226777104,178.88650824640692,180.24833905111512
3.182;201.57789218359835,179.16118557789284,180.57913373867987
3.212;201.8225575900927,179.43586290937878,180.90992842624462
3.242;202.06722299658705,179.7105402408647,181.2407231138094
3.272;202.3118884030814,179.98521757235062,181.57151780137414
3.302;201.5651922219643,179.24467779479278,180.68755994994748
3.332;200.81849604084718,178.50413801723496,179.80360209852086
3.362;200.07179985973008,177.76359823967712,178.9196442470942
3.392;198.19434755638613,175.98351791996268,177.0571831505833
3.422;195.5630578382243,173.5104105721438,174.5423865573496
3.452;192.93176812006246,171.03730322432494,172.02758996411592
3.482;190.89593335810727,169.1601556334165,170.12323547627895
3.512;190.81659345225967,169.24116152949955,170.22461933474557
3.542;190.73725354641203,169.3221674255826,170.32600319321216
3.572;190.65791364056443,169.40317332166563,170.42738705167878
3.602;190.25318795084084,169.0070446990614,169.9353610382023
3.632;189.81230828513102,168.55790112993634,169.37740059450994
3.662;189.3714286194212,168.10875756081128,168.81944015081754
3.692;188.9305489537114,167.65961399168626,168.26147970712518
3.722;188.54895382758673,167.2612141135914,167.8423952741865
3.752;188.22664324104719,166.91355792652672,167.56218685200145
3.782;187.90433265450764,166.56590173946202,167.2819784298164
3.812;187.5820220679681,166.21824555239735,167.00177000763136
3.842;187.25971148142855,165.87058936533268,166.72156158544635
3.872;185.97437121773598,164.73321559365024,165.568000727103
3.902;184.65582303414158,163.56861018111894,164.38432426751282
3.932;183.33727485054717,162.40400476858764,163.20064780792265
3.962;182.979317400179,162.1155342465265,162.89279344766098
3.992;184.06224604965018,163.14126606017055,163.89867223639206
4.022;185.14517469912136,164.16699787381458,164.90455102512314
4.052;186.22810334859253,165.19272968745864,165.9104298138542
4.082;187.31103199806367,166.2184615011027,166.91630860258527
4.112;187.15875038652365,166.04644993729056,166.77813277857
4.142;186.63053521728457,165.50990778033963,166.2917664202406
4.172;186.1023200480455,164.97336562338867,165.80540006191123
4.202;185.79667489711935,164.65771193415637,165.52180246913582
4.232;185.82488477366255,164.67339094650205,165.54235802469137
4.262;185.85309465020575,164.68906995884774,165.5629135802469
4.292;185.94129135838458,164.76221885095413,165.6404147868654
4.322;186.86930370946186,165.63994605971067,166.51515510836452
4.352;187.79731606053917,166.5176732684672,167.38989542986366
4.382;188.72532841161646,167.39540047722375,168.26463575136282
4.412;188.9492886845312,167.53345703930108,168.42304353062772
4.442;188.87151235251918,167.35451189565876,168.2744516489351
4.472;188.7937360205071,167.17556675201644,168.1258597672425
4.502;188.71595968849505,166.9966216083741,167.97726788554988
4.532;188.63818335648298,166.8176764647318,167.82867600385725
4.562;188.43103716319536,166.55231639793973,167.5743350438387
4.592;187.3829868716164,165.72525933067436,166.63262507470137
4.622;186.33493658003746,164.89820226340896,165.69091510556407
4.652;185.2868862884585,164.07114519614356,164.74920513642675
4.682;185.12711504053428,163.96503732481466,164.61178476905093
4.712;185.23768958850494,164.07834877398818,164.71914819351554
4.742;185.34826413647562,164.19166022316168,164.82651161798017
4.772;185.4588386844463,164.3049716723352,164.93387504244478
4.802;185.56941323241696,164.41828312150872,165.04123846690942
4.832;185.64386159102327,164.48361355997426,165.13292354556103
4.862;185.57380519217202,164.35701995560802,165.1618952409607
4.892;185.5037487933208,164.23042635124176,165.19086693636032
4.922;185.43369239446957,164.10383274687553,165.21983863175996
4.952;185.6788846631699,164.31275013662912,165.4694975023904
4.982;186.059183503678,164.6654579524341,165.81373659097687
5.012;186.43948234418616,165.0181657682391,166.15797567956335
5.042;186.8197811846943,165.37087358404406,166.50221476814983
5.072;187.20008002520245,165.72358139984905,166.8464538567363
5.102;187.48627858848945,165.994377633139,167.10407443598805
5.132;187.30197576567082,165.85561595385371,166.9286024685662
5.162;187.1176729428522,165.71685427456845,166.75313050114434
5.192;186.93337012003357,165.57809259528315,166.57765853372248
5.222;187.24271349495467,165.77136708584797,166.76549091132622
5.252;187.70229701701393,166.06569606288892,167.06389417654646
5.282;188.16188053907322,166.36002503992984,167.36229744176669
5.312;188.62146406113249,166.65435401697079,167.6607007069869
5.342;188.91820913566607,166.8469093857302,167.88597636302893
5.372;188.8349978326397,166.80199300183284,167.94062093098853
5.402;188.75178652961333,166.75707661793544,167.99526549894813
5.432;188.66857522658694,166.71216023403807,168.04991006690773
5.462;187.74733466119224,165.94410395844494,167.16409826594065
5.492;186.76623486277123,165.12439483344494,166.21111101005025
5.522;185.78513506435021,164.30468570844496,165.25812375415984
5.552;185.89269425505384,164.46369683506768,165.3680108696189
5.582;186.83275737861746,165.37114109528417,166.29068426905104
5.612;187.77282050218108,166.2785853555007,167.21335766848318
5.642;188.42628117487314,166.9032418939007,167.86006358988908
5.672;187.93333204407884,166.3967475450348,167.40289959919008
5.702;187.44038291328457,165.89025319616889,166.94573560849105
5.732;186.9474337824903,165.38375884730297,166.48857161779205
5.762;186.45448465169602,164.87726449843706,166.03140762709302
5.792;185.98083548764566,164.3886372617483,165.5900639857597
5.822;186.06688535916882,164.41815627819688,165.60751047603173
5.852;186.152935230692,164.44767529464542,165.62495696630376
5.882;186.2389851022152,164.477194311094,165.64240345657578
5.912;186.32503497373838,164.50671332754257,165.6598499468478
5.942;186.4302625706969,164.6053563980777,165.74552862947468
5.972;186.56056873168626,164.7943924624184,165.920434025181
6.002;186.69087489267562,164.98342852675907,166.09533942088734
6.032;186.821181053665,165.17246459109975,166.27024481659365
6.062;186.95148721465432,165.36150065544044,166.44515021229998
6.092;187.3599191209009,165.71151595096697,166.81456497359517
6.122;187.77794157008742,166.0670822544654,167.19068695439339
6.152;188.1959640192739,166.42264855796384,167.56680893519163
6.182;188.32860603854164,166.56125399263408,167.7012833069184
6.212;188.21154018163043,166.5100186670796,167.6243160207076
6.242;188.09447432471924,166.45878334152513,167.5473487344968
6.272;187.97740846780803,166.40754801597066,167.47038144828602
6.302;187.81928834348415,166.31585586088602,167.35802644508453
6.332;187.29167981244603,165.86005224002992,166.927181988967
6.362;186.7640712814079,165.4042486191738,166.49633753284945
6.392;186.23646275036978,164.9484449983177,166.06549307673194
6.422;185.7315351510327,164.5206820339223,165.62266444864107
6.452;185.24395179358459,164.11436192446746,165.17067145374708
6.482;184.75636843613654,163.7080418150126,164.71867845885308
6.512;184.33708283604585,163.35470999039111,164.33489131703604
6.542;184.2592860227421,163.2663195899366,164.29213344060383
6.572;184.18148920943833,163.17792918948203,164.24937556417163
6.602;184.1036923961346,163.0895387890275,164.20661768773945
6.632;184.02589558283083,163.00114838857294,164.16385981130725
6.662;184.6473470939889,163.58018945173234,164.74649533372303
6.692;185.56847645848777,164.44527257072627,165.59715659850227
6.722;186.48960582298662,165.31035568972018,166.4478178632815
6.752;186.71561800479117,165.51078750613587,166.63732992596638
6.782;185.55139582120717,164.3819167173951,165.50454358446257
6.812;184.38717363762314,163.25304592865427,164.37175724295872
6.842;183.22295145403913,162.12417513991346,163.23897090145488
6.872;182.0587292704551,160.99530435117268,162.10618455995106
6.902;180.8945070868711,159.86643356243187,160.97339821844722
6.932;180.76827686006396,159.69742402670954,160.8174208076891
6.962;181.08690032901836,159.9397835994237,161.08007579582198
6.992;181.40552379797273,160.18214317213784,161.34273078395486
7.022;181.72414726692713,160.424502744852,161.60538577208774
7.052;182.0391473753319,160.6886462291152,161.88040051526687
7.082;182.3422421562165,161.0243654227538,162.19602588216944
7.112;182.64533693710115,161.36008461639238,162.511651249072
7.142;182.94843171798578,161.695803810031,162.82727661597457
7.172;183.2515264988704,162.0315230036696,163.14290198287713
7.202;183.66631158452012,162.37702800490484,163.4531848686311
7.232;184.11508937162012,162.7255112954086,163.7618417818616
7.262;184.5638671587201,163.0739945859124,164.07049869509206
7.292;185.01264494582009,163.42247787641617,164.37915560832255
7.322;185.23925711471506,163.57524645652032,164.51195203812355
7.352;184.7358965380794,163.08495241673998,164.06692116522763
7.382;184.23253596144374,162.59465837695964,163.62189029233173
7.412;183.7291753848081,162.10436433717928,163.17685941943583
7.442;183.2258148081724,161.61407029739894,162.73182854653993
7.472;182.61777755935967,161.04826482606776,162.09065079963108
7.502;181.9491380266549,160.43874221015454,161.33591433618844
7.532;181.28049849395018,159.82921959424132,160.5811778727458
7.562;180.61185896124542,159.2196969783281,159.82644140930316
7.592;179.90805037608567,158.58103956808833,159.069180368023
7.622;178.88772031883082,157.6801690089097,158.28919812620555
7.652;177.867390261576,156.77929844973107,157.5092158843881
7.682;176.84706020432114,155.87842789055244,156.72923364257065
7.712;176.4411042214397,155.49661024056635,156.45440410338
7.742;177.46868774542955,156.32591604536287,157.35826420365197
7.772;178.4962712694194,157.15522185015942,158.26212430392394
7.802;179.5238547934092,157.98452765495594,159.16598440419588
7.832;179.01141577683202,157.5862430462639,158.75028682378533
7.862;178.445872534718,157.14562773365844,158.2890872543857
7.892;177.88032929260402,156.705012421053,157.82788768498605
7.922;177.7555245720115,156.66590527199773,157.75263993209782
7.952;179.07886070784673,157.94603923175006,158.9455195763184
7.982;180.402196843682,159.2261731915024,160.13839922053896
8.012;181.72553297951723,160.50630715125476,161.33127886475955
8.042;181.42038892484723,160.2318117019787,161.07602191229697
8.072;180.7895488320762,159.64639037089697,160.53113764049778
8.102;180.15870873930515,159.06096903981523,159.98625336869858
8.132;179.52786864653413,158.47554770873353,159.4413690968994
8.162;178.99321455150374,157.99962789475987,158.97266485721374
8.192;178.65093245195465,157.7427111150024,158.65632068175518
8.222;178.30865035240555,157.48579433524495,158.3399765062966
8.252;177.96636825285646,157.22887755548746,158.02363233083804
8.282;178.86718079489702,158.0797098331334,158.9527709936093
8.312;180.07876699733504,159.2074793751302,160.19328036593805
8.342;181.29035319977302,160.335248917127,161.4337897382668
8.372;182.23374399713865,161.22219922526787,162.39451649792207
8.402;182.87062576013588,161.83392755185918,163.0354917002363
8.432;183.50750752313309,162.44565587845045,163.67646690255052
8.462;184.03428865394181,162.95964449548265,164.21323003057108
8.492;183.0196609341118,162.1052771786876,163.29102411848078
8.522;182.00503321428178,161.25090986189252,162.36881820639044
8.552;182.35442204867954,161.54276740705748,162.78259283389303
8.582;182.9136595837277,162.0109672386778,163.40190292902528
8.612;183.47289711877588,162.47916707029813,164.02121302415753
8.642;183.67752435349362,162.63219303942165,164.2615808760181
8.672;183.26964288764074,162.24082779150518,163.8474121258639
8.702;182.86176142178783,161.84946254358871,163.43324337570974
8.732;182.45387995593492,161.45809729567222,163.01907462555553
8.762;182.045998490082,161.06673204775575,162.60490587540136
8.792;182.59646741993228,161.5308684292788,163.0831948697544
8.822;183.25341972708293,162.0900605474062,163.66064583571938
8.852;183.91037203423357,162.64925266553365,164.23809680168435
8.882;184.5673243413842,163.20844478366107,164.81554776764932
8.912;184.00838364904345,162.7025908763881,164.25657936568717
8.942;181.85942903429094,160.8039844743607,162.21152409797415
8.972;179.7104744195384,158.90537807233332,160.1664688302611
9.002;177.64346306017984,157.0983098205222,158.2148853658356
9.032;177.9528061072471,157.9458479249823,158.97398419674846
9.062;178.2621491543144,158.7933860294424,159.73308302766134
9.092;178.57149220138166,159.6409241339025,160.49218185857418
9.122;177.5544875952434,158.8882027904308,159.68351414622697
9.152;175.8743091625023,157.33535172299315,158.09096316224972
9.182;174.1941307297612,155.78250065555554,156.49841217827247
9.212;173.4883256142053,155.11904165602206,155.82115470452985
9.242;174.73126713301968,156.23436679229684,156.97448425125654
9.272;175.9742086518341,157.34969192857164,158.1278137979832
9.302;177.21715017064847,158.46501706484642,159.2811433447099
9.332;177.47396005449014,158.81414367652636,159.6773468960489
9.362;177.7307699383318,159.1632702882063,160.0735504473879
9.392;177.98757982217347,159.51239689988623,160.4697539987269
9.422;180.09096776459893,161.30946140566016,162.36419118333717
9.452;182.65600022167035,163.46851038495757,164.63318677626523
9.482;185.22103267874175,165.62755936425498,166.9021823691933
9.512;186.81177496671978,167.12562543854472,168.41748145816527
9.542;187.28904277573398,167.86828247854,169.0714131140446
9.572;185.16326431986153,166.09692347096555,167.2078768237168
9.602;175.87910863555095,157.4120203325743,158.42130368131947
9.632;166.59495295124037,148.72711719418305,149.63473053892216
9.662;167.43597071048524,149.50700760379485,150.36212784860496
9.692;168.27698846973013,150.28689801340664,151.08952515828776
9.722;169.2028730347351,151.19559321712015,152.0385623253979
9.752;170.1545866275801,152.1434898799081,153.0550551012902
9.782;170.44629379410893,152.47689924615332,153.43955412618607
9.812;169.19798596589993,151.37650492046555,152.34940106542348
9.842;167.94967813769094,150.27611059477778,151.25924800466092
9.872;166.70137030948194,149.17571626909,150.16909494389833
9.902;165.45306248127292,148.07532194340223,149.07894188313574
9.932;166.58034431335412,149.0102803273968,150.00154751052452
9.962;168.30152356050786,150.454076888812,151.4273428099511
9.992;170.0227028076616,151.8978734502272,152.85313810937774
10.022;171.39809692693296,153.14156259379163,154.11007165048684
10.052;172.37830804291022,154.15655754552668,155.17402032494738
10.082;173.35851915888745,155.17155249726173,156.23796899940794
10.112;174.29695558927378,156.13778045949906,157.2458459994204
10.142;174.65054642138702,156.4212705687681,157.46871955716009
10.172;175.0041372535003,156.70476067803713,157.69159311489977
10.202;175.35772808561353,156.98825078730619,157.91446667263946
10.232;175.7113189177268,157.27174089657524,158.13734023037915
10.262;176.06490974984007,157.55523100584426,158.36021378811884
10.292;176.4043713591965,157.86790233235345,158.693013474837
10.322;176.72970374579612,158.2097548761028,159.13573929053365
10.352;177.05503613239574,158.55160741985216,159.5784651062303
10.382;177.0432504334271,158.59710774006354,159.70931563599794
10.412;175.6829923921853,157.45719916612316,158.59266502204943
10.442;174.32273435094353,156.3172905921828,157.47601440810095
10.472;175.06564870854214,156.73170159182607,157.8318679536338
10.502;176.13212805057773,157.385238679713,158.41426060062537
10.532;175.17973697419075,156.54521857777257,157.56983852318305
10.562;173.0585261818749,154.84050747119525,155.8993658158053
10.592;170.93731538955905,153.13579636461793,154.2288931084276
10.622;168.92073135746668,151.5143057339975,152.64212291359095
10.652;169.93832337185495,152.3062089061276,153.48272558244537
10.682;170.9559153862432,153.09811207825769,154.32332825129978
10.712;171.97350740063146,153.89001525038776,155.16393092015423
10.742;171.69909185658975,153.7242415491249,155.0112361245669
10.772;170.67667193661487,153.00402334221351,154.28347437588167
10.802;169.65425201663996,152.28380513530212,153.55571262719647
10.832;169.0170035922969,151.84996583769222,153.11393941397242
10.862;169.64531865360124,152.3570858135015,153.61184281726358
10.892;170.27363371490554,152.86420578931074,154.1097462205547
10.922;170.90194877620988,153.37132576512002,154.60764962384587
10.952;171.89443685440955,154.25524961212957,155.50923831581034
10.982;172.99776019862082,155.25385289820008,156.53368774780583
11.012;174.1010835428321,156.25245618427059,157.5581371798013
11.042;174.3898432355802,156.49333790553493,157.8245099409417
11.072;173.45675745113357,155.59763727959006,156.9537676957995
11.102;172.52367166668694,154.70193665364516,156.08302545065732
11.132;171.61992763789934,153.83563306344058,155.2383588211122
11.162;171.56709452322409,153.82184350970422,155.14988504388262
11.192;171.51426140854886,153.80805395596786,155.06141126665304
11.222;171.46142829387364,153.7942644022315,154.97293748942346
11.252;171.4085951791984,153.78047484849515,154.88446371219388
11.282;171.22703328008973,153.6289287523199,154.71004469491527
11.312;170.8231216624142,153.23943953738657,154.38717480846108
11.342;170.41921004473866,152.84995032245325,154.06430492200687
11.372;170.01529842706313,152.46046110751993,153.74143503555268
11.402;170.1338649167703,152.61544220004836,153.92455928114643
11.432;170.25243140647748,152.7704232925768,154.10768352674015
11.462;170.37099789618466,152.92540438510522,154.2908077723339
11.492;170.31629687850238,152.8570529277713,154.15566656506104
11.522;170.16128309338413,152.65940367841176,153.83626641139173
11.552;170.70674235494968,153.13141189639794,154.24887763269012
11.582;172.302911186541,154.60790631540274,155.75950591644005
11.612;173.8990800181323,156.08440073440755,157.27013420018997
11.642;175.45477645106172,157.52084371094114,158.73909400320093
11.672;175.83677332279578,157.79579485580913,158.99966786478223
11.702;176.2187701945298,158.07074600067716,159.26024172636355
11.732;176.60076706626387,158.3456971455452,159.52081558794484
11.762;176.34268787453112,158.16454043554018,159.35216634828865
11.792;175.76457065106496,157.75532979809867,158.96890555801374
11.822;175.2001958527413,157.34754682656995,158.58574342946537
