time;Pixel leftCheek
13.118;218.81764345517664,195.9579334286298,202.79783540943436
13.223;218.49172185430464,195.41163079470198,202.22971854304635
13.324;219.6536769327467,196.95746909700398,203.6180599203855
13.459;217.6261429758936,195.25561097256858,201.74293433083957
13.561;218.96954421340055,196.14156689771056,202.87040537702163
13.629;217.71163575042158,195.46859190556492,201.64080944350758
13.698;218.7855313700384,196.18501920614597,202.85019206145967
13.799;218.9043900379907,196.3682988602786,202.99366821443647
13.9;219.39695945945945,196.9028716216216,203.60240709459458
14;221.1867469879518,198.3909208261618,205.43782271944923
14.135;221.4670530156686,199.35887529512772,206.04829362524146
14.209;220.12543986752226,197.86151935417098,204.64106810184228
14.311;219.3655303030303,196.8661616161616,203.3968855218855
14.412;218.41825413439398,196.0688716767846,202.4347917102784
14.513;218.18782143591852,196.4050606871014,202.33737914009464
14.614;219.10809115617812,196.74158477942714,203.19569307965713
14.716;217.8712748344371,195.66576986754967,201.97599337748343
14.781;218.4953521999587,196.33319562073953,202.85602148316462
14.853;217.77971249240736,195.64790443409598,201.9230613484511
14.955;217.2469135802469,195.39135802469136,201.65493827160495
15.055;218.5043156596794,196.21105630908343,202.6816687217427
15.156;218.3300391187976,196.12106238418778,202.70434424541898
15.224;218.38275718450646,196.17201166180757,202.47709287796752
15.366;217.90393636549052,195.77421986538855,202.5439526820314
15.47;218.21259842519686,195.7250310816411,202.5116038126813
15.573;218.6317209881669,196.40876063940212,202.95453601826864
15.681;219.51816483288354,197.01411667012664,203.9742578368279
15.754;219.2790649565577,197.14811750103433,203.7410012412081
15.888;217.86529026982828,196.18192968111202,202.7226083401472
15.955;218.07509964338158,196.3591357247745,202.5336689741976
16.055;218.72300170068027,197.1358418367347,203.06994047619048
16.121;218.9964195450716,197.61225779275483,203.87889637742208
16.225;218.46757607555088,196.38090241343127,202.8585519412382
16.292;218.27995802728228,196.21762854144805,202.69108079748165
16.426;218.51597883597884,196.67597883597884,203.21544973544974
16.527;218.53794967768766,196.53150343106674,203.14368891661468
16.632;218.19804504887378,196.07076073098173,202.76838079048025
16.738;217.14054390699604,195.26904712476644,201.72347934399002
16.838;217.6434634974533,195.7807724957555,201.95415959252972
16.905;218.1155370177268,196.6221063607925,203.12659019812304
16.977;218.71491136600625,197.0842544316997,203.4713242961418
17.113;218.75193960998112,197.03480813587754,203.55630111134408
17.213;215.79700020546537,194.02629956852272,200.5783850421204
17.282;217.3314963967783,195.3240779991522,201.94001695633744
17.349;217.33719008264464,195.1134297520661,201.86219008264462
17.45;218.1602699283003,195.4139603542809,202.40889919865035
17.551;217.45212990299453,195.21088148460566,201.8473218051455
17.685;216.44224422442244,194.43502475247524,201.05218646864685
17.786;218.1933108960875,196.07803954564577,202.74526714345814
17.853;216.8296555990926,194.84244174056508,201.1728191379666
