time;Pixel rightCheek
20.713;183.53705655075518,164.9740077274324,166.0296803652968
20.812;184.97739618012966,166.2148239004731,167.59348168915366
20.883;189.28614457831324,170.33699503897944,171.85364989369242
20.984;190.4740441950193,171.51560855840057,172.4468607506138
21.086;187.2703130495955,168.7430531129089,169.46746394653536
21.187;183.83543417366946,165.1966036414566,166.2983193277311
21.297;179.86453073306635,161.6078704509838,162.75918509489813
21.398;186.99769789268638,168.05702142730652,169.26775278909156
21.466;186.55093080435546,167.43133122585178,168.60748155953635
21.566;185.4579095054367,166.22641178533848,167.66853735531393
21.667;185.4677960119993,166.38733015704958,167.58620081171696
21.777;188.1601493067899,169.06576608602916,170.28741557056523
21.884;186.03176283748016,166.75277924827952,168.22639844715016
21.984;186.78941761363637,168.13405539772728,169.0546875
22.118;185.49022048364154,166.68083214793742,167.56241109530583
22.221;183.7699146514936,164.88655761024182,165.8725106685633
22.289;185.7620056497175,166.61935028248587,168.1636652542373
22.356;187.57770689349636,168.64983164983164,170.0241006556796
22.458;187.74620467940704,168.28147883550633,169.69958921235934
22.524;186.31245526127415,166.84520400858983,168.04384395132428
22.625;190.4099692974535,171.1742821022214,172.4876286797905
22.76;187.45788451350873,168.0236623697687,169.63694155041497
22.86;187.92848313614692,169.11795867914532,170.19177114603568
22.927;192.58307775572794,172.98538697456252,174.53725419447952
23.028;188.6681970686915,169.41285537700864,170.8663252692919
23.094;190.96271064897812,171.33327357475798,172.80907135173896
23.235;189.39850825785828,169.98117563487835,171.38732019179542
23.403;188.88680257510728,169.35783261802575,170.8505007153076
23.469;188.2536401222362,168.84055365809814,170.41003055905088
23.569;189.95969908651261,170.29159949847752,172.04800286584273
23.704;190.5767857142857,170.85625,172.65303571428572
23.806;190.60998747091463,170.9275102917487,172.37408269196348
23.882;187.39808748007792,168.00637506640695,169.42872321586682
24.019;187.88528990694346,168.1918396564066,169.98264137437366
24.12;187.83312444046553,168.167054610564,169.7162041181737
24.222;188.10957923008058,168.50778871978514,170.56168307967772
24.324;189.56932735426008,169.75730941704035,171.4321076233184
24.392;187.31361368496079,167.5367070563079,169.18870277975768
24.46;189.53630481667864,169.5251617541337,171.50413371675054
24.561;187.8798561151079,168.02913669064748,169.97374100719423
24.662;186.68884120171674,167.16469957081546,168.8463876967096
24.741;187.19124797406806,167.7061048082118,169.2603997839006
24.91;187.5666249329279,167.99767483455554,169.90985512430692
25.012;188.89741737402926,169.10348564204443,170.8063933538017
25.079;186.4607563325009,166.5795576168391,168.74687834463074
25.15;189.09334298118668,169.11758321273516,170.8963458755427
25.256;185.95326278659613,166.063139329806,168.0384479717813
25.358;192.00054704595186,171.89733770970093,174.0548869438366
25.463;192.3212983223924,172.2055069292487,174.32038657913932
25.529;186.5329415954416,166.96545584045583,168.77902421652422
25.63;188.38035037023658,168.5138161459274,170.40599602672927
25.735;188.12636869502782,168.3600789804344,170.15849937174656
25.835;188.42754919499106,168.0107334525939,169.90536672629696
25.94;191.54329279361045,170.68850971138139,172.9110546378653
26.041;186.9035352638124,167.1147628353171,168.85272694972463
26.144;187.06040149227215,166.69088648072483,168.78948303428672
26.246;189.88464298528885,169.50574094007894,171.8614998205956
26.346;186.88641188959662,167.01291578202407,168.57218683651806
26.413;188.1530133525803,167.97618188379647,170.0164200649585
26.483;188.0678968111788,168.2637047653171,170.06915084199213
26.584;189.1252916891043,169.35325794291867,171.11308562197092
26.727;185.85861639694113,166.06313355859862,168.01369375778054
26.861;188.46561135371178,168.1641193595342,170.24545123726347
26.962;185.11953612845673,165.2549509366637,166.94540588760034
27.062;191.386832026263,171.10596388838226,172.676454495714
27.129;188.0381679389313,168.02165808627728,169.6880880525475
27.239;189.06552962298025,169.2935368043088,170.997486535009
27.374;188.9844975053457,169.0686029935852,170.7287954383464
27.475;188.60621761658032,168.8558156155083,170.6001429337145
27.542;189.87682333873582,169.5535746443364,171.28525121555916
27.614;189.0197931526391,168.92671184022825,170.69543509272467
27.714;190.36482142857142,170.41767857142858,172.16339285714287
27.816;188.67124754595753,168.67910048188472,170.44172764590397
27.916;189.2575867052023,169.6242774566474,171.30509393063585
28.017;189.63634751773048,169.96471631205674,171.7040780141844
28.087;187.6503819506129,167.68768875466336,169.3178184402203
28.187;188.99892453844774,169.08263129593118,170.93851944792974
28.288;189.2201472436703,169.55377985275632,171.06212964625607
28.389;188.81440144014402,169.26768676867687,170.94365436543654
28.522;187.34890406036652,167.53683075817463,169.21289974847286
28.624;188.3544600938967,168.38118454315637,170.09768869628024
28.726;188.24915405164737,168.54977738201248,170.3560106856634
28.791;189.9511977118341,170.19127636753666,171.57311405076868
28.893;188.10857956568174,168.39053043787825,169.92773228907083
28.993;187.98708056701955,168.48734972187333,169.99515521263234
29.104;185.19975075663166,165.64465016912942,166.69681324550473
29.24;189.98487884860631,170.5722353798506,172.01129531790855
29.34;188.93124332027074,169.3610616316352,170.83861774136088
29.443;187.6175948918056,168.2135509045761,169.66087264987584
29.513;187.18261024182075,167.7684921763869,169.51866998577526
29.581;187.2259623992838,167.97923008057296,169.35559534467322
29.682;188.4525993883792,169.26929303831625,171.05810397553518
29.782;189.40960604425257,169.63608562691132,171.23277567907897
29.849;189.77785752736406,170.1496500986901,171.69836712722054
29.991;186.15869642224584,167.0843074743181,168.63868225292242
30.091;189.4409263614981,169.8266690790664,171.07381943187985
30.192;186.04336917562725,166.98136200716846,168.24802867383514
30.294;189.549863760218,170.45413260672117,171.9006357856494
30.394;188.08718672785034,168.90945993646312,170.41563713378045
30.496;187.28873985174727,167.84804094599366,169.49576420755383
30.596;187.27963800904976,167.89701357466063,169.20108597285068
30.696;185.06393266475644,165.97170487106018,167.3279011461318
30.896;190.85763448650607,171.29994566201776,173.04944756384714
31.029;186.4184811471057,167.12674809700832,168.466985307134
31.131;190.216029143898,171.05045537340618,172.67012750455373
31.232;186.41534060432684,167.10727695333452,168.55855533702842
31.367;188.89436492118136,169.8044935676753,171.03533248776952
31.439;187.6088350552191,168.19006056287853,169.98539365871036
31.54;191.96237442922376,172.04803652968036,173.97826484018265
31.614;186.96577275935073,167.60797459421312,168.90825688073394
31.715;189.52835332606324,169.91166848418757,171.48509632860777
31.85;188.22977809591984,168.59001431639226,170.25697924123122
