time;Pixel forehead
20.292;246.33487784330245,237.113100252738,238.98694187026118
20.396;246.58757062146893,237.40594266582968,239.39066750366186
20.465;246.53037037037038,237.2131216931217,239.21756613756614
20.579;246.95950482584976,238.1647083508183,239.9122954259337
20.713;246.1589376053963,236.88364249578416,238.79005059021924
20.812;246.65866388308976,237.57870563674322,239.56096033402923
20.883;247.17336736864496,238.4354392682408,240.33269517124018
20.984;247.1124396895322,238.37130270610447,240.25613593455003
21.086;246.85484544695072,238.44172932330827,240.15705931495404
21.187;246.72056349873844,237.99201009251473,239.56518082422204
21.297;246.18512256973796,236.89475908706677,238.70371935756552
21.398;246.57918168327328,237.69832520669917,239.52639389442442
21.466;246.86029875867874,237.84998948032822,239.78182200715338
21.566;246.6414216204781,237.68796276708272,239.73831182568225
21.667;246.5082037076497,237.33901555508203,239.0641380779885
21.777;246.9711723254324,238.09566517189836,239.8398462524023
21.884;246.69585547290117,237.77832093517534,239.6182784272051
21.984;246.77332189577524,237.96654514261206,239.91636285653013
22.118;246.60574244696807,237.38482965502465,239.18405828155133
22.221;246.21727019498607,236.69295050353546,238.78637240197128
22.289;246.36161964247253,236.9885849666164,239.03230669825544
22.356;246.524290627687,237.44991401547722,239.4957007738607
22.458;246.67138871002362,237.64606138656364,239.72483365529084
22.524;246.38360302049622,236.99697950377563,239.1764832793959
22.625;246.77528089887642,237.5538029386344,239.57800345721694
22.76;246.80176116838487,237.62134879725085,239.68019759450172
22.86;246.82925257731958,237.89540378006873,239.93449312714776
22.927;247.02554112554114,238.07857142857142,240.27186147186148
23.028;246.6605426190985,237.3373210852382,239.56227301858578
23.094;246.77415171817591,237.55478711908364,239.73244002593472
23.235;246.4766295025729,237.1447255574614,239.0844768439108
23.403;246.62809379070777,237.4051237516283,239.53343465045592
23.469;246.7234685073339,237.33843830888696,239.67471958584986
23.569;246.43112739814615,237.2114679887907,239.3819788747575
23.704;246.83229680463222,237.7338623203946,239.9924941025091
23.806;246.79151251360173,237.49009793253538,239.71381936887923
23.882;246.50312029266192,237.16655907036798,239.3684097267054
